2Empty Net Performance stats for NHL teams
On this page you can see the success of teams when a net is empty. The stats are for regular season, for playoffs or for the playing year in total. Statistics are available for the teams with the empty net or against it ever since the players on ice were recorded for goals: 1999 and later. The statistics for 1999 might be incomplete.

Season
2025/26
Stage
Regular
With/Against
Playing With Empty Net
Empty net performance during season 2025
Team	Scored	Allowed	Count	Succ. rate ▾
COLORADO AVALANCHE	1	0	1	1
PITTSBURGH PENGUINS	2	1	5	0.200
LOS ANGELES KINGS	4	3	10	0.100
ANAHEIM DUCKS	5	5	12	0
DALLAS STARS	3	3	7	0
NEW JERSEY DEVILS	3	3	8	0
SEATTLE KRAKEN	2	2	6	0
NEW YORK ISLANDERS	4	5	12	-0.083
OTTAWA SENATORS	3	4	11	-0.091
PHILADELPHIA FLYERS	2	3	10	-0.100
MONTREAL CANADIENS	3	4	10	-0.100
CHICAGO BLACKHAWKS	0	1	7	-0.143
VANCOUVER CANUCKS	4	7	16	-0.188
TAMPA BAY LIGHTNING	1	3	9	-0.222
BOSTON BRUINS	2	5	11	-0.273
COLUMBUS BLUE JACKETS	1	3	7	-0.286
SAN JOSE SHARKS	1	4	9	-0.333
TORONTO MAPLE LEAFS	1	5	12	-0.333
VEGAS GOLDEN KNIGHTS	2	5	9	-0.333
WASHINGTON CAPITALS	1	4	8	-0.375
DETROIT RED WINGS	1	4	8	-0.375
CAROLINA HURRICANES	2	5	8	-0.375
CALGARY FLAMES	1	6	12	-0.417
NASHVILLE PREDATORS	3	9	14	-0.429
UTAH MAMMOTH	0	4	9	-0.444
EDMONTON OILERS	1	6	11	-0.455
WINNIPEG JETS	0	5	10	-0.500
NEW YORK RANGERS	2	9	13	-0.538
ST. LOUIS BLUES	1	5	7	-0.571
FLORIDA PANTHERS	1	10	12	-0.750
MINNESOTA WILD	0	6	7	-0.857
BUFFALO SABRES	0	9	10	-0.900

Empty Net Performance stats for NHL teams
On this page you can see the success of teams when a net is empty. The stats are for regular season, for playoffs or for the playing year in total. Statistics are available for the teams with the empty net or against it ever since the players on ice were recorded for goals: 1999 and later. The statistics for 1999 might be incomplete.

Season
2025/26
Stage
Regular
With/Against
Playing Against Empty Net
Empty net performance during season 2025
Team	Scored	Allowed	Count	Succ. rate ▾
EDMONTON OILERS	5	0	6	0.833
WASHINGTON CAPITALS	9	0	13	0.692
PITTSBURGH PENGUINS	9	1	12	0.667
PHILADELPHIA FLYERS	5	1	6	0.667
CAROLINA HURRICANES	5	0	8	0.625
COLORADO AVALANCHE	10	0	16	0.625
BUFFALO SABRES	3	0	5	0.600
CALGARY FLAMES	3	0	5	0.600
TORONTO MAPLE LEAFS	7	1	10	0.600
UTAH MAMMOTH	6	1	9	0.556
TAMPA BAY LIGHTNING	7	1	11	0.545
NEW YORK RANGERS	5	1	8	0.500
DETROIT RED WINGS	9	3	14	0.429
NEW JERSEY DEVILS	6	2	10	0.400
CHICAGO BLACKHAWKS	6	2	11	0.364
SEATTLE KRAKEN	4	1	9	0.333
WINNIPEG JETS	6	3	11	0.273
LOS ANGELES KINGS	3	1	8	0.250
ANAHEIM DUCKS	5	3	10	0.200
OTTAWA SENATORS	2	1	7	0.143
FLORIDA PANTHERS	2	1	7	0.143
MINNESOTA WILD	4	3	8	0.125
NASHVILLE PREDATORS	4	3	10	0.100
DALLAS STARS	2	1	13	0.077
SAN JOSE SHARKS	2	2	6	0
ST. LOUIS BLUES	3	3	11	0
VEGAS GOLDEN KNIGHTS	3	3	9	0
BOSTON BRUINS	3	4	11	-0.091
NEW YORK ISLANDERS	3	4	10	-0.100
COLUMBUS BLUE JACKETS	2	3	9	-0.111
MONTREAL CANADIENS	3	5	12	-0.167
VANCOUVER CANUCKS	2	3	6	-0.167
