Team,Scored,Allowed,Count,"Succ. rate"
"COLORADO AVALANCHE",1,0,1,1
"ANAHEIM DUCKS",2,0,3,0.6667
"SEATTLE KRAKEN",2,1,4,0.25
"LOS ANGELES KINGS",3,2,7,0.1429
"PHILADELPHIA FLYERS",2,2,8,0
"NEW YORK ISLANDERS",2,2,6,0
"PITTSBURGH PENGUINS",1,1,4,0
"NEW JERSEY DEVILS",2,2,4,0
"TAMPA BAY LIGHTNING",1,1,6,0
"OTTAWA SENATORS",3,4,7,-0.1429
"BOSTON BRUINS",1,2,6,-0.1667
"SAN JOSE SHARKS",1,2,5,-0.2
"DALLAS STARS",2,3,5,-0.2
"MONTREAL CANADIENS",1,2,5,-0.2
"VANCOUVER CANUCKS",3,5,9,-0.2222
"CHICAGO BLACKHAWKS",0,1,4,-0.25
"VEGAS GOLDEN KNIGHTS",1,2,4,-0.25
"CAROLINA HURRICANES",1,2,4,-0.25
"COLUMBUS BLUE JACKETS",1,3,7,-0.2857
"WASHINGTON CAPITALS",1,3,6,-0.3333
"NASHVILLE PREDATORS",2,5,9,-0.3333
"EDMONTON OILERS",1,3,6,-0.3333
"TORONTO MAPLE LEAFS",0,3,7,-0.4286
"DETROIT RED WINGS",0,2,4,-0.5
"WINNIPEG JETS",0,3,6,-0.5
"CALGARY FLAMES",0,5,9,-0.5556
"FLORIDA PANTHERS",1,5,7,-0.5714
"UTAH MAMMOTH",0,4,6,-0.6667
"ST. LOUIS BLUES",0,3,4,-0.75
"NEW YORK RANGERS",0,6,7,-0.8571
"MINNESOTA WILD",0,6,7,-0.8571
"BUFFALO SABRES",0,6,7,-0.8571
