iter	RMSE
0	7.0231089
1	6.98786432
2	6.946482296
3	6.925053569
4	6.875054075
5	6.838157479
6	6.815431485
7	6.773396656
8	6.744577847
9	6.708163588
10	6.681546108
11	6.660811748
12	6.633473853
13	6.598011462
14	6.558998575
15	6.534012817
16	6.498362785
17	6.476968627
18	6.450602885
19	6.430189549
20	6.409236644
21	6.36080256
22	6.323779596
23	6.300375067
24	6.273414983
25	6.238190385
26	6.2161874
27	6.18707066
28	6.155488705
29	6.128252402
30	6.107660733
31	6.073232616
32	6.042172176
33	6.021332705
34	5.971993927
35	5.947484167
36	5.909832528
37	5.88147117
38	5.862732241
39	5.848029886
40	5.833505147
41	5.815693181
42	5.793597459
43	5.755414426
44	5.731432482
45	5.712459028
46	5.684959331
47	5.653975664
48	5.629198981
49	5.616602377
50	5.590517263
51	5.565991753
52	5.539113523
53	5.519910061
54	5.485647134
55	5.457374399
56	5.435432589
57	5.402598948
58	5.365826667
59	5.336856212
60	5.313080316
61	5.29742175
62	5.272160536
63	5.246229933
64	5.223415875
65	5.201094328
66	5.188726613
67	5.160436488
68	5.131179743
69	5.118816545
70	5.104066101
71	5.088637675
72	5.067021459
73	5.052762116
74	5.032222861
75	5.011776733
76	4.976872503
77	4.954218387
78	4.936731485
79	4.913302912
80	4.887868315
81	4.873925269
82	4.843927809
83	4.830177702
84	4.808239863
85	4.794949785
86	4.772474357
87	4.745627694
88	4.72312389
89	4.705542777
90	4.683561317
91	4.660645964
92	4.642837673
93	4.629866185
94	4.6106072
95	4.600086227
96	4.582270059
97	4.566134736
98	4.547604816
99	4.537288203
100	4.517194591
101	4.484686719
102	4.470864459
103	4.447898898
104	4.436578684
105	4.418553541
106	4.407307987
107	4.384266005
108	4.369810357
109	4.347423722
110	4.332313418
111	4.311335582
112	4.281668955
113	4.247667451
114	4.221893141
115	4.205906035
116	4.194849254
117	4.178343937
118	4.164431535
119	4.153375777
120	4.14266903
121	4.133306907
122	4.113138728
123	4.097932876
124	4.073069997
125	4.05192006
126	4.026684943
127	4.008160221
128	3.986275897
129	3.969554696
130	3.963050777
131	3.9437806
132	3.935313473
133	3.919175521
134	3.898915677
135	3.885506154
136	3.866218869
137	3.839523459
138	3.81703451
139	3.803028899
140	3.792556693
141	3.779350267
142	3.761431157
143	3.752046393
144	3.736861791
145	3.729589163
146	3.716267445
147	3.696684581
148	3.680679432
149	3.669246944
150	3.660692188
151	3.642532935
152	3.629074059
153	3.620604521
154	3.613391404
155	3.580729067
156	3.56836474
157	3.540997202
158	3.525353972
159	3.518709931
160	3.496835896
161	3.487274141
162	3.47303336
163	3.45334893
164	3.442023337
165	3.420987903
166	3.409976455
167	3.38538054
168	3.347754263
169	3.322703411
170	3.301634202
171	3.278654192
172	3.271182143
173	3.258039614
174	3.248039478
175	3.223124502
176	3.214110697
177	3.191247628
178	3.163220435
179	3.143564337
180	3.127087729
181	3.109846897
182	3.08830041
183	3.071217504
184	3.057038058
185	3.041869967
186	3.013450692
187	2.989035167
188	2.972742204
189	2.956265105
190	2.950474785
191	2.936151361
192	2.919187766
193	2.897769286
194	2.881270452
195	2.857355628
196	2.849025277
197	2.826615558
198	2.820913316
199	2.805271156
