iter	Passed	Remaining
0	62	12425
1	68	6785
2	74	4907
3	79	3914
4	85	3342
5	92	2978
6	97	2688
7	102	2470
8	109	2317
9	114	2183
10	121	2081
11	126	1981
12	132	1909
13	138	1842
14	144	1778
15	149	1718
16	155	1672
17	160	1620
18	165	1575
19	171	1540
20	176	1502
21	182	1475
22	187	1445
23	193	1417
24	199	1396
25	205	1375
26	211	1354
27	217	1338
28	224	1324
29	231	1313
30	238	1298
31	244	1284
32	251	1271
33	257	1257
34	264	1245
35	269	1229
36	275	1214
37	281	1201
38	289	1194
39	296	1185
40	303	1176
41	309	1163
42	314	1149
43	320	1135
44	329	1133
45	335	1123
46	342	1114
47	348	1104
48	354	1091
49	361	1083
50	367	1072
51	373	1063
52	379	1052
53	384	1039
54	390	1028
55	395	1017
56	401	1006
57	406	995
58	412	985
59	417	973
60	422	963
61	428	953
62	433	943
63	439	934
64	446	926
65	451	916
66	457	909
67	464	900
68	471	896
69	478	888
70	484	880
71	491	874
72	500	870
73	508	866
74	515	858
75	522	851
76	528	843
77	535	837
78	541	830
79	548	822
80	556	817
81	564	812
82	571	806
83	578	798
84	584	791
85	590	782
86	597	776
87	605	770
88	611	763
89	619	756
90	626	750
91	634	744
92	641	738
93	650	734
94	659	728
95	667	723
96	675	716
97	683	711
98	694	708
99	705	705
100	711	697
101	718	690
102	724	682
103	731	675
104	739	668
105	747	662
106	755	656
107	765	652
108	772	645
109	781	639
110	788	632
111	794	624
112	801	617
113	810	611
114	817	604
115	823	596
116	829	588
117	834	580
118	841	573
119	848	565
120	854	557
121	861	550
122	867	542
123	873	535
124	881	528
125	890	522
126	897	515
127	904	508
128	911	501
129	917	494
130	924	486
131	930	479
132	937	472
133	943	464
134	949	457
135	956	450
136	963	443
137	969	435
138	975	427
139	980	420
140	987	413
141	994	406
142	1000	398
143	1009	392
144	1016	385
145	1024	378
146	1032	372
147	1041	365
148	1053	360
149	1064	354
150	1073	348
151	1082	341
152	1091	335
153	1099	328
154	1109	322
155	1118	315
156	1127	308
157	1135	301
158	1143	294
159	1151	287
160	1158	280
161	1165	273
162	1173	266
163	1179	258
164	1187	251
165	1193	244
166	1201	237
167	1209	230
168	1218	223
169	1226	216
170	1235	209
171	1244	202
172	1253	195
173	1261	188
174	1270	181
175	1277	174
176	1288	167
177	1305	161
178	1321	155
179	1335	148
180	1347	141
181	1365	135
182	1374	127
183	1385	120
184	1395	113
185	1403	105
186	1413	98
187	1423	90
188	1433	83
189	1442	75
190	1451	68
191	1458	60
192	1467	53
193	1479	45
194	1487	38
195	1498	30
196	1506	22
197	1515	15
198	1522	7
199	1531	0
