game_id,home_team,away_team,closing_line,live_line,actual_total,threshold,movement,tier,bet_side,bet_total,bet_size,result,profit_loss,closing_error,regressed
0,LSU,Colorado,138.6,150.6,170,12,12.0,Consider,UNDER,150.6,0.5,LOSS,-0.5,31.4,False
0,LSU,Colorado,138.6,154.6,170,16,16.0,Good,UNDER,154.6,1.0,LOSS,-1.0,31.4,False
0,LSU,Colorado,138.6,158.6,170,20,20.0,Strong,UNDER,158.6,1.5,LOSS,-1.5,31.4,False
0,LSU,Colorado,138.6,162.6,170,24,24.0,Max,UNDER,162.6,2.0,LOSS,-2.0,31.4,False
0,LSU,Colorado,138.6,166.6,170,28,28.0,Historic,UNDER,166.6,2.0,LOSS,-2.0,31.4,False
1,Kansas,North Carolina Central,138.8,150.8,155,12,12.0,Consider,UNDER,150.8,0.5,LOSS,-0.5,16.2,False
1,Kansas,North Carolina Central,138.8,154.8,155,16,16.0,Good,UNDER,154.8,1.0,LOSS,-1.0,16.2,False
2,Duke,Dartmouth,133.1,145.1,146,12,12.0,Consider,UNDER,145.1,0.5,LOSS,-0.5,12.9,False
3,Purdue,Samford,163.1,151.1,143,12,12.0,Consider,OVER,151.1,0.5,LOSS,-0.5,20.1,False
3,Purdue,Samford,163.1,147.1,143,16,16.0,Good,OVER,147.1,1.0,LOSS,-1.0,20.1,False
3,Purdue,Samford,163.1,143.1,143,20,20.0,Strong,OVER,143.1,1.5,LOSS,-1.5,20.1,False
7,Utah,Mississippi Valley State,119.5,131.5,149,12,12.0,Consider,UNDER,131.5,0.5,LOSS,-0.5,29.5,False
7,Utah,Mississippi Valley State,119.5,135.5,149,16,16.0,Good,UNDER,135.5,1.0,LOSS,-1.0,29.5,False
7,Utah,Mississippi Valley State,119.5,139.5,149,20,20.0,Strong,UNDER,139.5,1.5,LOSS,-1.5,29.5,False
7,Utah,Mississippi Valley State,119.5,143.5,149,24,24.0,Max,UNDER,143.5,2.0,LOSS,-2.0,29.5,False
7,Utah,Mississippi Valley State,119.5,147.5,149,28,28.0,Historic,UNDER,147.5,2.0,LOSS,-2.0,29.5,False
8,Marquette,Northern Illinois,140.2,152.2,162,12,12.0,Consider,UNDER,152.2,0.5,LOSS,-0.5,21.8,False
8,Marquette,Northern Illinois,140.2,156.2,162,16,16.0,Good,UNDER,156.2,1.0,LOSS,-1.0,21.8,False
8,Marquette,Northern Illinois,140.2,160.2,162,20,20.0,Strong,UNDER,160.2,1.5,LOSS,-1.5,21.8,False
9,South Carolina,Notre Dame,124.5,136.5,171,12,12.0,Consider,UNDER,136.5,0.5,LOSS,-0.5,46.5,False
9,South Carolina,Notre Dame,124.5,140.5,171,16,16.0,Good,UNDER,140.5,1.0,LOSS,-1.0,46.5,False
9,South Carolina,Notre Dame,124.5,144.5,171,20,20.0,Strong,UNDER,144.5,1.5,LOSS,-1.5,46.5,False
9,South Carolina,Notre Dame,124.5,148.5,171,24,24.0,Max,UNDER,148.5,2.0,LOSS,-2.0,46.5,False
9,South Carolina,Notre Dame,124.5,152.5,171,28,28.0,Historic,UNDER,152.5,2.0,LOSS,-2.0,46.5,False
15,Arizona,Morgan State,145.0,157.0,181,12,12.0,Consider,UNDER,157.0,0.5,LOSS,-0.5,36.0,False
15,Arizona,Morgan State,145.0,161.0,181,16,16.0,Good,UNDER,161.0,1.0,LOSS,-1.0,36.0,False
15,Arizona,Morgan State,145.0,165.0,181,20,20.0,Strong,UNDER,165.0,1.5,LOSS,-1.5,36.0,False
15,Arizona,Morgan State,145.0,169.0,181,24,24.0,Max,UNDER,169.0,2.0,LOSS,-2.0,36.0,False
15,Arizona,Morgan State,145.0,173.0,181,28,28.0,Historic,UNDER,173.0,2.0,LOSS,-2.0,36.0,False
16,Miami (FL),NJIT,124.2,136.2,161,12,12.0,Consider,UNDER,136.2,0.5,LOSS,-0.5,36.8,False
16,Miami (FL),NJIT,124.2,140.2,161,16,16.0,Good,UNDER,140.2,1.0,LOSS,-1.0,36.8,False
16,Miami (FL),NJIT,124.2,144.2,161,20,20.0,Strong,UNDER,144.2,1.5,LOSS,-1.5,36.8,False
16,Miami (FL),NJIT,124.2,148.2,161,24,24.0,Max,UNDER,148.2,2.0,LOSS,-2.0,36.8,False
16,Miami (FL),NJIT,124.2,152.2,161,28,28.0,Historic,UNDER,152.2,2.0,LOSS,-2.0,36.8,False
17,Maryland,Harvard,133.5,145.5,173,12,12.0,Consider,UNDER,145.5,0.5,LOSS,-0.5,39.5,False
17,Maryland,Harvard,133.5,149.5,173,16,16.0,Good,UNDER,149.5,1.0,LOSS,-1.0,39.5,False
17,Maryland,Harvard,133.5,153.5,173,20,20.0,Strong,UNDER,153.5,1.5,LOSS,-1.5,39.5,False
17,Maryland,Harvard,133.5,157.5,173,24,24.0,Max,UNDER,157.5,2.0,LOSS,-2.0,39.5,False
17,Maryland,Harvard,133.5,161.5,173,28,28.0,Historic,UNDER,161.5,2.0,LOSS,-2.0,39.5,False
18,Arkansas,Alcorn State,129.5,141.5,152,12,12.0,Consider,UNDER,141.5,0.5,LOSS,-0.5,22.5,False
18,Arkansas,Alcorn State,129.5,145.5,152,16,16.0,Good,UNDER,145.5,1.0,LOSS,-1.0,22.5,False
18,Arkansas,Alcorn State,129.5,149.5,152,20,20.0,Strong,UNDER,149.5,1.5,LOSS,-1.5,22.5,False
19,Texas A&M,East Texas A&M,108.1,120.1,124,12,12.0,Consider,UNDER,120.1,0.5,LOSS,-0.5,15.9,False
20,Texas A&M,East Texas A&M,108.1,120.1,124,12,12.0,Consider,UNDER,120.1,0.5,LOSS,-0.5,15.9,False
23,Florida State,Charleston Southern,131.3,143.3,162,12,12.0,Consider,UNDER,143.3,0.5,LOSS,-0.5,30.7,False
23,Florida State,Charleston Southern,131.3,147.3,162,16,16.0,Good,UNDER,147.3,1.0,LOSS,-1.0,30.7,False
23,Florida State,Charleston Southern,131.3,151.3,162,20,20.0,Strong,UNDER,151.3,1.5,LOSS,-1.5,30.7,False
23,Florida State,Charleston Southern,131.3,155.3,162,24,24.0,Max,UNDER,155.3,2.0,LOSS,-2.0,30.7,False
23,Florida State,Charleston Southern,131.3,159.3,162,28,28.0,Historic,UNDER,159.3,2.0,LOSS,-2.0,30.7,False
24,Texas,Incarnate Word,114.8,126.8,144,12,12.0,Consider,UNDER,126.8,0.5,LOSS,-0.5,29.2,False
24,Texas,Incarnate Word,114.8,130.8,144,16,16.0,Good,UNDER,130.8,1.0,LOSS,-1.0,29.2,False
24,Texas,Incarnate Word,114.8,134.8,144,20,20.0,Strong,UNDER,134.8,1.5,LOSS,-1.5,29.2,False
24,Texas,Incarnate Word,114.8,138.8,144,24,24.0,Max,UNDER,138.8,2.0,LOSS,-2.0,29.2,False
24,Texas,Incarnate Word,114.8,142.8,144,28,28.0,Historic,UNDER,142.8,2.0,LOSS,-2.0,29.2,False
25,UNC,Radford,121.9,133.9,156,12,12.0,Consider,UNDER,133.9,0.5,LOSS,-0.5,34.1,False
25,UNC,Radford,121.9,137.9,156,16,16.0,Good,UNDER,137.9,1.0,LOSS,-1.0,34.1,False
25,UNC,Radford,121.9,141.9,156,20,20.0,Strong,UNDER,141.9,1.5,LOSS,-1.5,34.1,False
25,UNC,Radford,121.9,145.9,156,24,24.0,Max,UNDER,145.9,2.0,LOSS,-2.0,34.1,False
25,UNC,Radford,121.9,149.9,156,28,28.0,Historic,UNDER,149.9,2.0,LOSS,-2.0,34.1,False
30,Villanova,American,126.1,138.1,153,12,12.0,Consider,UNDER,138.1,0.5,LOSS,-0.5,26.9,False
30,Villanova,American,126.1,142.1,153,16,16.0,Good,UNDER,142.1,1.0,LOSS,-1.0,26.9,False
30,Villanova,American,126.1,146.1,153,20,20.0,Strong,UNDER,146.1,1.5,LOSS,-1.5,26.9,False
30,Villanova,American,126.1,150.1,153,24,24.0,Max,UNDER,150.1,2.0,LOSS,-2.0,26.9,False
31,Washington State,Cal Poly,125.1,137.1,139,12,12.0,Consider,UNDER,137.1,0.5,LOSS,-0.5,13.9,False
32,Alabama,Morehead State,128.2,140.2,178,12,12.0,Consider,UNDER,140.2,0.5,LOSS,-0.5,49.8,False
32,Alabama,Morehead State,128.2,144.2,178,16,16.0,Good,UNDER,144.2,1.0,LOSS,-1.0,49.8,False
32,Alabama,Morehead State,128.2,148.2,178,20,20.0,Strong,UNDER,148.2,1.5,LOSS,-1.5,49.8,False
32,Alabama,Morehead State,128.2,152.2,178,24,24.0,Max,UNDER,152.2,2.0,LOSS,-2.0,49.8,False
32,Alabama,Morehead State,128.2,156.2,178,28,28.0,Historic,UNDER,156.2,2.0,LOSS,-2.0,49.8,False
33,Mississippi State,Alcorn State,99.8,111.8,119,12,12.0,Consider,UNDER,111.8,0.5,LOSS,-0.5,19.2,False
33,Mississippi State,Alcorn State,99.8,115.8,119,16,16.0,Good,UNDER,115.8,1.0,LOSS,-1.0,19.2,False
34,Illinois,Eastern Illinois,115.7,127.7,132,12,12.0,Consider,UNDER,127.7,0.5,LOSS,-0.5,16.3,False
34,Illinois,Eastern Illinois,115.7,131.7,132,16,16.0,Good,UNDER,131.7,1.0,LOSS,-1.0,16.3,False
35,Stephen F. Austin,Panhandle State,122.0,134.0,164,12,12.0,Consider,UNDER,134.0,0.5,LOSS,-0.5,42.0,False
35,Stephen F. Austin,Panhandle State,122.0,138.0,164,16,16.0,Good,UNDER,138.0,1.0,LOSS,-1.0,42.0,False
35,Stephen F. Austin,Panhandle State,122.0,142.0,164,20,20.0,Strong,UNDER,142.0,1.5,LOSS,-1.5,42.0,False
35,Stephen F. Austin,Panhandle State,122.0,146.0,164,24,24.0,Max,UNDER,146.0,2.0,LOSS,-2.0,42.0,False
