Date,Home_Team,Away_Team,Closing_Total,Num_Books,Home_mapped,Away_mapped,Date_dt,Actual_Total,Result_Date,Days_Diff,Deviation,Abs_Deviation
2023-11-06,Oregon Ducks,Georgia Bulldogs,141.0,1,oregon,georgia,2023-11-06,153,2023-11-06,0,12.0,12.0
2023-11-06,UConn Huskies,Northern Arizona Lumberjacks,140.9,7,uconn,northern arizona,2023-11-06,147,2023-11-06,0,6.099999999999994,6.099999999999994
2023-11-06,Purdue Boilermakers,Samford Bulldogs,143.5,7,purdue,samford,2023-11-06,143,2023-11-06,0,-0.5,0.5
2023-11-07,Bowling Green Falcons,Chicago St Cougars,146.5,1,bowling green state,chicago state,2023-11-07,111,2023-11-06,-1,-35.5,35.5
2023-11-07,Colgate Raiders,Brown Bears,146.0,1,colgate,brown,2023-11-07,142,2023-11-06,-1,-4.0,4.0
2023-11-07,Rhode Island Rams,Central Connecticut St Blue Devils,135.5,1,rhode island,central connecticut,2023-11-07,151,2023-11-06,-1,15.5,15.5
2023-11-07,Clemson Tigers,Winthrop Eagles,146.5,1,clemson,winthrop,2023-11-07,112,2023-11-06,-1,-34.5,34.5
2023-11-07,Dayton Flyers,SIU-Edwardsville Cougars,135.1,5,dayton,siu-edwardsville,2023-11-07,110,2023-11-06,-1,-25.099999999999994,25.099999999999994
2023-11-07,Penn State Nittany Lions,Delaware St Hornets,140.6,5,penn state,delaware state,2023-11-07,124,2023-11-06,-1,-16.599999999999994,16.599999999999994
2023-11-07,Louisville Cardinals,UMBC Retrievers,143.5,1,louisville,umbc,2023-11-07,187,2023-11-06,-1,43.5,43.5
2023-11-07,West Virginia Mountaineers,Missouri St Bears,135.9,7,west virginia,missouri state,2023-11-07,126,2023-11-06,-1,-9.900000000000006,9.900000000000006
2023-11-07,NC State Wolfpack,The Citadel Bulldogs,145.2,5,nc state,the citadel,2023-11-07,131,2023-11-06,-1,-14.199999999999989,14.199999999999989
2023-11-07,Western Michigan Broncos,North Dakota St Bison,141.1,4,western michigan,north dakota state,2023-11-07,156,2023-11-06,-1,14.900000000000006,14.900000000000006
2023-11-07,Villanova Wildcats,American Eagles,140.9,4,villanova,american,2023-11-07,153,2023-11-06,-1,12.099999999999994,12.099999999999994
2023-11-07,Belmont Bruins,Georgia St Panthers,145.0,4,belmont,georgia state,2023-11-07,176,2023-11-06,-1,31.0,31.0
2023-11-07,Temple Owls,Maryland-Eastern Shore Hawks,134.5,1,temple,maryland-eastern shore,2023-11-07,150,2023-11-06,-1,15.5,15.5
2023-11-07,Vermont Catamounts,Merrimack Warriors,131.0,1,vermont,merrimack,2023-11-07,122,2023-11-06,-1,-9.0,9.0
2023-11-07,Seton Hall Pirates,Saint Peter's Peacocks,126.1,4,seton hall,st. peter's,2023-11-07,129,2023-11-06,-1,2.9000000000000057,2.9000000000000057
2023-11-07,Alabama Crimson Tide,Morehead St Eagles,143.2,7,alabama,morehead state,2023-11-07,178,2023-11-06,-1,34.80000000000001,34.80000000000001
2023-11-07,Arkansas Razorbacks,Alcorn St Braves,145.0,5,arkansas,alcorn state,2023-11-07,152,2023-11-06,-1,7.0,7.0
2023-11-07,Wisconsin Badgers,Arkansas St Red Wolves,135.2,4,wisconsin,arkansas state,2023-11-07,181,2023-11-06,-1,45.80000000000001,45.80000000000001
2023-11-07,Arkansas-Little Rock Trojans,Texas State Bobcats,141.2,4,little rock,texas state,2023-11-07,137,2023-11-06,-1,-4.199999999999989,4.199999999999989
2023-11-07,Missouri Tigers,Arkansas-Pine Bluff Golden Lions,149.5,1,missouri,arkansas-pine bluff,2023-11-07,180,2023-11-06,-1,30.5,30.5
2023-11-07,Minnesota Golden Gophers,Bethune-Cookman Wildcats,139.8,2,minnesota,bethune-cookman,2023-11-07,140,2023-11-06,-1,0.19999999999998863,0.19999999999998863
2023-11-07,Northwestern Wildcats,Binghamton Bearcats,135.8,2,northwestern,binghamton,2023-11-07,133,2023-11-06,-1,-2.8000000000000114,2.8000000000000114
2023-11-07,Boston College Eagles,Fairfield Stags,132.5,4,boston college,fairfield,2023-11-07,159,2023-11-06,-1,26.5,26.5
2023-11-07,Northeastern Huskies,Boston Univ. Terriers,131.2,2,northeastern,boston university,2023-11-07,125,2023-11-06,-1,-6.199999999999989,6.199999999999989
2023-11-07,Butler Bulldogs,Eastern Michigan Eagles,141.5,4,butler,eastern michigan,2023-11-07,149,2023-11-06,-1,7.5,7.5
2023-11-07,Oklahoma Sooners,Central Michigan Chippewas,136.5,4,oklahoma,central michigan,2023-11-07,148,2023-11-06,-1,11.5,11.5
2023-11-07,Wake Forest Demon Deacons,Elon Phoenix,142.0,4,wake forest,elon,2023-11-07,179,2023-11-06,-1,37.0,37.0
2023-11-07,Iowa State Cyclones,Green Bay Phoenix,133.1,5,iowa state,green bay,2023-11-07,129,2023-11-06,-1,-4.099999999999994,4.099999999999994
2023-11-07,Texas Longhorns,Incarnate Word Cardinals,144.7,5,texas,incarnate word,2023-11-07,144,2023-11-06,-1,-0.6999999999999886,0.6999999999999886
2023-11-07,Memphis Tigers,Jackson St Tigers,147.5,1,memphis,jackson state,2023-11-07,171,2023-11-06,-1,23.5,23.5
2023-11-07,Kansas Jayhawks,North Carolina Central Eagles,142.4,5,kansas,north carolina central,2023-11-07,155,2023-11-06,-1,12.599999999999994,12.599999999999994
2023-11-07,Kentucky Wildcats,New Mexico St Aggies,141.9,7,kentucky,new mexico state,2023-11-07,132,2023-11-06,-1,-9.900000000000006,9.900000000000006
2023-11-07,Xavier Musketeers,Robert Morris Colonials,143.6,5,xavier,robert morris,2023-11-07,140,2023-11-06,-1,-3.5999999999999943,3.5999999999999943
2023-11-07,UTSA Roadrunners,Western Illinois Leathernecks,144.5,2,utsa,western illinois,2023-11-07,146,2023-11-06,-1,1.5,1.5
2023-11-07,Michigan St Spartans,James Madison Dukes,143.5,6,michigan state,james madison,2023-11-07,155,2023-11-06,-1,11.5,11.5
2023-11-07,Middle Tennessee Blue Raiders,Northern Kentucky Norse,133.5,2,middle tennessee,northern kentucky,2023-11-07,131,2023-11-06,-1,-2.5,2.5
2023-11-07,Oklahoma St Cowboys,Abilene Christian Wildcats,140.9,4,oklahoma state,abilene christian,2023-11-07,123,2023-11-06,-1,-17.900000000000006,17.900000000000006
2023-11-07,Cincinnati Bearcats,UIC Flames,142.1,4,cincinnati,uic,2023-11-07,127,2023-11-06,-1,-15.099999999999994,15.099999999999994
2023-11-07,South Dakota St Jackrabbits,Akron Zips,141.1,4,south dakota state,akron,2023-11-07,156,2023-11-06,-1,14.900000000000006,14.900000000000006
2023-11-07,Air Force Falcons,Portland St Vikings,139.5,4,air force,portland state,2023-11-07,117,2023-11-06,-1,-22.5,22.5
2023-11-07,Arizona Wildcats,Morgan St Bears,155.1,5,arizona,morgan state,2023-11-07,181,2023-11-06,-1,25.900000000000006,25.900000000000006
2023-11-07,Utah Utes,Eastern Washington Eagles,142.8,4,utah,eastern washington,2023-11-07,167,2023-11-06,-1,24.19999999999999,24.19999999999999
2023-11-07,New Mexico Lobos,Texas Southern Tigers,152.2,2,new mexico,texas southern,2023-11-07,135,2023-11-06,-1,-17.19999999999999,17.19999999999999
2023-11-07,Colorado St Rams,Louisiana Tech Bulldogs,140.8,4,colorado state,louisiana tech,2023-11-07,154,2023-11-06,-1,13.199999999999989,13.199999999999989
2023-11-07,San Diego St Aztecs,CSU Fullerton Titans,131.4,7,san diego state,cal state fullerton,2023-11-07,140,2023-11-06,-1,8.599999999999994,8.599999999999994
2023-11-07,Washington St Cougars,Idaho Vandals,137.7,5,washington state,idaho,2023-11-07,143,2023-11-06,-1,5.300000000000011,5.300000000000011
2023-11-07,Washington Huskies,Bellarmine Knights,139.0,2,washington,bellarmine,2023-11-07,148,2023-11-06,-1,9.0,9.0
2023-11-16,North Texas Mean Green,St. John's Red Storm,137.1,14,north texas,st. john's (ny),2023-11-16,105,2023-11-16,0,-32.099999999999994,32.099999999999994
2023-11-16,Wyoming Cowboys,Saint Louis Billikens,150.0,14,wyoming,saint louis,2023-11-16,148,2023-11-16,0,-2.0,2.0
2023-11-16,LSU Tigers,Dayton Flyers,133.8,14,lsu,dayton,2023-11-16,137,2023-11-16,0,3.1999999999999886,3.1999999999999886
2023-11-16,Coastal Carolina Chanticleers,Wichita St Shockers,144.5,14,coastal carolina,wichita state,2023-11-16,163,2023-11-16,0,18.5,18.5
2023-11-16,Towson Tigers,Houston Cougars,127.5,14,towson,houston,2023-11-16,114,2023-11-16,0,-13.5,13.5
2023-11-16,St. Bonaventure Bonnies,Oklahoma St Cowboys,135.7,14,st. bonaventure,oklahoma state,2023-11-16,130,2023-11-16,0,-5.699999999999989,5.699999999999989
2023-11-17,Boston Univ. Terriers,Bryant Bulldogs,137.9,9,boston university,bryant,2023-11-17,174,2023-11-16,-1,36.099999999999994,36.099999999999994
2023-11-17,UCF Knights,CSU Fullerton Titans,142.3,13,ucf,cal state fullerton,2023-11-17,116,2023-11-16,-1,-26.30000000000001,26.30000000000001
2023-11-17,Indiana Hoosiers,Wright St Raiders,152.0,13,indiana,wright state,2023-11-17,169,2023-11-16,-1,17.0,17.0
2023-11-17,Virginia Cavaliers,Texas Southern Tigers,130.2,8,virginia,texas southern,2023-11-17,95,2023-11-16,-1,-35.19999999999999,35.19999999999999
2023-11-17,Southern Illinois Salukis,Chicago St Cougars,131.1,10,southern illinois,chicago state,2023-11-17,126,2023-11-16,-1,-5.099999999999994,5.099999999999994
2023-11-17,Minnesota Golden Gophers,Missouri Tigers,147.6,14,minnesota,missouri,2023-11-17,138,2023-11-16,-1,-9.599999999999994,9.599999999999994
2023-11-17,Wake Forest Demon Deacons,Utah Utes,150.9,13,wake forest,utah,2023-11-17,147,2023-11-16,-1,-3.9000000000000057,3.9000000000000057
2023-11-17,Montana Grizzlies,North Dakota St Bison,137.1,14,montana,north dakota state,2023-11-17,147,2023-11-16,-1,9.900000000000006,9.900000000000006
2023-11-17,California Golden Bears,Montana St Bobcats,142.0,14,california,montana state,2023-11-17,123,2023-11-16,-1,-19.0,19.0
2023-12-01,Xavier Musketeers,Houston Cougars,138.6,14,xavier,houston,2023-12-01,126,2023-12-01,0,-12.599999999999994,12.599999999999994
2023-12-02,Bethune-Cookman Wildcats,Incarnate Word Cardinals,148.4,9,bethune-cookman,incarnate word,2023-12-02,178,2023-12-01,-1,29.599999999999994,29.599999999999994
2023-12-02,Brown Bears,Bryant Bulldogs,147.1,10,brown,bryant,2023-12-02,135,2023-12-01,-1,-12.099999999999994,12.099999999999994
2023-12-02,South Carolina Gamecocks,George Washington Colonials,149.7,14,south carolina,george washington,2023-12-02,156,2023-12-01,-1,6.300000000000011,6.300000000000011
2023-12-02,Georgia Bulldogs,Mercer Bears,138.9,14,georgia,mercer,2023-12-02,149,2023-12-01,-1,10.099999999999994,10.099999999999994
2023-12-02,Indiana Hoosiers,Maryland Terrapins,137.5,13,indiana,maryland,2023-12-02,118,2023-12-01,-1,-19.5,19.5
2023-12-02,VCU Rams,Norfolk St Spartans,135.8,9,vcu,norfolk state,2023-12-02,123,2023-12-01,-1,-12.800000000000011,12.800000000000011
2023-12-02,West Virginia Mountaineers,St. John's Red Storm,147.5,14,west virginia,st. john's (ny),2023-12-02,152,2023-12-01,-1,4.5,4.5
2023-12-02,Arkansas-Little Rock Trojans,Arkansas St Red Wolves,160.3,14,little rock,arkansas state,2023-12-02,143,2023-12-01,-1,-17.30000000000001,17.30000000000001
2023-12-02,South Dakota St Jackrabbits,Towson Tigers,131.7,14,south dakota state,towson,2023-12-02,109,2023-12-01,-1,-22.69999999999999,22.69999999999999
2023-12-02,DePaul Blue Demons,Iowa State Cyclones,139.0,14,depaul,iowa state,2023-12-02,179,2023-12-01,-1,40.0,40.0
2023-12-02,Troy Trojans,SIU-Edwardsville Cougars,143.1,13,troy,siu-edwardsville,2023-12-02,143,2023-12-01,-1,-0.09999999999999432,0.09999999999999432
2023-12-02,BYU Cougars,Fresno St Bulldogs,143.2,13,byu,fresno state,2023-12-02,141,2023-12-01,-1,-2.1999999999999886,2.1999999999999886
2023-12-02,Kansas Jayhawks,UConn Huskies,148.5,14,kansas,uconn,2023-12-02,134,2023-12-01,-1,-14.5,14.5
2023-12-02,Northwestern Wildcats,Purdue Boilermakers,136.6,14,northwestern,purdue,2023-12-02,180,2023-12-01,-1,43.400000000000006,43.400000000000006
2023-12-16,Texas Longhorns,LSU Tigers,142.3,12,texas,lsu,2023-12-16,181,2023-12-16,0,38.69999999999999,38.69999999999999
2023-12-16,Indiana Hoosiers,Kansas Jayhawks,146.5,12,indiana,kansas,2023-12-16,146,2023-12-16,0,-0.5,0.5
2023-12-16,Providence Friars,Sacred Heart Pioneers,141.9,9,providence,sacred heart,2023-12-16,142,2023-12-16,0,0.09999999999999432,0.09999999999999432
2023-12-16,Drexel Dragons,Albany Great Danes,138.1,9,drexel,albany (ny),2023-12-16,123,2023-12-16,0,-15.099999999999994,15.099999999999994
2023-12-16,Michigan St Spartans,Baylor Bears,144.4,12,michigan state,baylor,2023-12-16,152,2023-12-16,0,7.599999999999994,7.599999999999994
2023-12-16,Bryant Bulldogs,Towson Tigers,132.8,7,bryant,towson,2023-12-16,194,2023-12-16,0,61.19999999999999,61.19999999999999
2023-12-16,Mercer Bears,Florida Gulf Coast Eagles,134.2,9,mercer,florida gulf coast,2023-12-16,135,2023-12-16,0,0.8000000000000114,0.8000000000000114
2023-12-16,Hampton Pirates,James Madison Dukes,162.8,10,hampton,james madison,2023-12-16,159,2023-12-16,0,-3.8000000000000114,3.8000000000000114
2023-12-16,VCU Rams,Temple Owls,137.3,11,vcu,temple,2023-12-16,165,2023-12-16,0,27.69999999999999,27.69999999999999
2023-12-16,UIC Flames,Western Michigan Broncos,135.6,12,uic,western michigan,2023-12-16,157,2023-12-16,0,21.400000000000006,21.400000000000006
2023-12-16,Michigan Wolverines,Eastern Michigan Eagles,145.9,11,michigan,eastern michigan,2023-12-16,149,2023-12-16,0,3.0999999999999943,3.0999999999999943
2023-12-16,Houston Cougars,Texas A&M Aggies,130.6,11,houston,texas a&m,2023-12-16,136,2023-12-16,0,5.400000000000006,5.400000000000006
2023-12-16,Western Kentucky Hilltoppers,Austin Peay Governors,143.4,9,western kentucky,austin peay,2023-12-16,129,2023-12-16,0,-14.400000000000006,14.400000000000006
2023-12-16,Samford Bulldogs,Belmont Bruins,168.0,12,samford,belmont,2023-12-16,192,2023-12-16,0,24.0,24.0
2023-12-16,Memphis Tigers,Clemson Tigers,151.0,12,memphis,clemson,2023-12-16,156,2023-12-16,0,5.0,5.0
2023-12-16,Georgia Southern Eagles,UNC Wilmington Seahawks,143.1,12,georgia southern,unc wilmington,2023-12-16,159,2023-12-16,0,15.900000000000006,15.900000000000006
2023-12-16,Northwestern St Demons,Rice Owls,153.3,9,northwestern state,rice,2023-12-16,127,2023-12-16,0,-26.30000000000001,26.30000000000001
2023-12-16,Ohio State Buckeyes,UCLA Bruins,133.5,11,ohio state,ucla,2023-12-16,127,2023-12-16,0,-6.5,6.5
2023-12-16,St. John's Red Storm,Fordham Rams,148.2,10,st. john's (ny),fordham,2023-12-16,132,2023-12-16,0,-16.19999999999999,16.19999999999999
2023-12-16,St. Bonaventure Bonnies,Florida Atlantic Owls,148.0,12,st. bonaventure,florida atlantic,2023-12-16,118,2023-12-16,0,-30.0,30.0
2023-12-16,South Florida Bulls,Loyola (Chi) Ramblers,143.5,12,south florida,loyola (il),2023-12-16,141,2023-12-16,0,-2.5,2.5
2023-12-16,Utah State Aggies,San Francisco Dons,139.7,12,utah state,san francisco,2023-12-16,107,2023-12-16,0,-32.69999999999999,32.69999999999999
2023-12-16,Utah Utes,Utah Valley Wolverines,142.7,12,utah,utah valley,2023-12-16,138,2023-12-16,0,-4.699999999999989,4.699999999999989
2023-12-16,Virginia Tech Hokies,Vermont Catamounts,138.4,8,virginia tech,vermont,2023-12-16,124,2023-12-16,0,-14.400000000000006,14.400000000000006
2023-12-16,Purdue Boilermakers,Arizona Wildcats,159.6,12,purdue,arizona,2023-12-16,176,2023-12-16,0,16.400000000000006,16.400000000000006
2023-12-16,DePaul Blue Demons,Northwestern Wildcats,141.7,12,depaul,northwestern,2023-12-16,102,2023-12-16,0,-39.69999999999999,39.69999999999999
2023-12-16,Georgia Bulldogs,High Point Panthers,150.6,9,georgia,high point,2023-12-16,124,2023-12-16,0,-26.599999999999994,26.599999999999994
2023-12-16,Virginia Cavaliers,Northeastern Huskies,127.2,10,virginia,northeastern,2023-12-16,110,2023-12-16,0,-17.200000000000003,17.200000000000003
2023-12-17,Cincinnati Bearcats,Dayton Flyers,139.8,11,cincinnati,dayton,2023-12-17,150,2023-12-16,-1,10.199999999999989,10.199999999999989
2023-12-17,Marshall Thundering Herd,UNC Greensboro Spartans,154.6,12,marshall,unc greensboro,2023-12-17,137,2023-12-16,-1,-17.599999999999994,17.599999999999994
2023-12-17,Wichita St Shockers,Southern Illinois Salukis,141.7,12,wichita state,southern illinois,2023-12-17,137,2023-12-16,-1,-4.699999999999989,4.699999999999989
