Home_Team,Away_Team,Actual_Total,Closing_Total,Error,Abs_Error
LSU,Colorado,170,344.0,174.0,174.0
Kansas,North Carolina Central,155,308.0,153.0,153.0
Duke,Dartmouth,146,298.0,152.0,152.0
Purdue,Samford,143,298.0,155.0,155.0
Iowa,FDU,148,294.0,146.0,146.0
Michigan State,James Madison,155,308.0,153.0,153.0
UCLA,Purdue,141,296.0,155.0,155.0
Utah,Mississippi Valley State,149,304.0,155.0,155.0
Marquette,Northern Illinois,162,320.0,158.0,158.0
South Carolina,Notre Dame,171,346.0,175.0,175.0
UConn,Northern Arizona,147,290.0,143.0,143.0
USC,Ohio State,157,310.0,153.0,153.0
Houston,Louisiana-Monroe,115,232.0,117.0,117.0
Virginia Tech,High Point,149,282.0,133.0,133.0
Tennessee,Tennessee Tech,122,230.0,108.0,108.0
Ole Miss,Queens (NC),135,266.0,131.0,131.0
Arizona,Morgan State,181,354.0,173.0,173.0
Miami (FL),NJIT,161,324.0,163.0,163.0
Maryland,Harvard,173,338.0,165.0,165.0
Arkansas,Alcorn State,152,292.0,140.0,140.0
Texas A&M,East Texas A&M,124,260.0,136.0,136.0
Kentucky,New Mexico State,132,262.0,130.0,130.0
Cincinnati,Louisville,136,272.0,136.0,136.0
San Diego State,Cal State Fullerton,140,268.0,128.0,128.0
Florida State,Charleston Southern,162,320.0,158.0,158.0
Texas,Incarnate Word,144,288.0,144.0,144.0
UNC,Radford,156,302.0,146.0,146.0
Baylor,Southern,138,280.0,142.0,142.0
USC,Kansas State,151,296.0,145.0,145.0
Creighton,North Dakota State,127,252.0,125.0,125.0
Villanova,American,153,300.0,147.0,147.0
Saint Mary's,Cal State Stanislaus,135,286.0,151.0,151.0
Washington State,Cal Poly,139,278.0,139.0,139.0
Alabama,Morehead State,178,348.0,170.0,170.0
Mississippi State,Alcorn State,119,244.0,125.0,125.0
Illinois,Eastern Illinois,132,254.0,122.0,122.0
Stephen F. Austin,Panhandle State,164,330.0,166.0,166.0
Ball State,Tennessee Tech,161,306.0,145.0,145.0
Chattanooga,King (TN),120,228.0,108.0,108.0
Clemson,Winthrop,112,226.0,114.0,114.0
College of Charleston,Pfeiffer,147,300.0,153.0,153.0
Duke,Richmond,136,274.0,138.0,138.0
Georgia Tech,Coastal Carolina,136,272.0,136.0,136.0
Hofstra,St. Joseph's–Long Island,149,296.0,147.0,147.0
IU Indianapolis,Spalding,133,254.0,121.0,121.0
Iowa State,Butler,137,268.0,131.0,131.0
McNeese State,Dillard,123,242.0,119.0,119.0
Kansas City,Bradley,139,286.0,147.0,147.0
Missouri,Belmont,133,268.0,135.0,135.0
Samford,Auburn Montgomery,129,244.0,115.0,115.0
Southeastern Louisiana,Millsaps,91,184.0,93.0,93.0
Southern Miss,William Carey,134,264.0,130.0,130.0
Stephen F. Austin,North American,164,322.0,158.0,158.0
Troy,Univ. of Ft. Lauderdale,139,284.0,145.0,145.0
Vanderbilt,Kennesaw State,149,306.0,157.0,157.0
Utah Tech,La Verne,175,358.0,183.0,183.0
Marquette,UT-Martin,135,262.0,127.0,127.0
Nebraska,Northwestern State,132,262.0,130.0,130.0
Oklahoma,Wichita State,160,322.0,162.0,162.0
Prairie View,Kansas Christian,155,318.0,163.0,163.0
UC-Davis,Academy of Art,154,304.0,150.0,150.0
George Mason,Bowie State,141,280.0,139.0,139.0
UAB,Alabama A&M,133,256.0,123.0,123.0
Liberty,Frostburg State,114,218.0,104.0,104.0
Old Dominion,Lincoln (PA),122,250.0,128.0,128.0
Oregon,Georgia,153,318.0,165.0,165.0
Temple,Delaware State,152,304.0,152.0,152.0
Alabama,Alabama State,132,272.0,140.0,140.0
Army,NJIT,130,264.0,134.0,134.0
Boston College,Holy Cross,127,248.0,121.0,121.0
Bryant,Dartmouth,122,248.0,126.0,126.0
Buffalo,Canisius,129,272.0,143.0,143.0
Campbell,North Carolina Wesleyan,145,290.0,145.0,145.0
Florida,North Florida,147,308.0,161.0,161.0
Fordham,Adelphi,113,204.0,91.0,91.0
George Washington,Howard,122,250.0,128.0,128.0
Lehigh,East Stroudsburg State,120,240.0,120.0,120.0
Morgan State,Washington Adventist,116,230.0,114.0,114.0
Oregon State,Linfield,128,256.0,128.0,128.0
Quinnipiac,Maine,127,238.0,111.0,111.0
SMU,UC-Riverside,133,264.0,131.0,131.0
TCU,Oral Roberts,132,268.0,136.0,136.0
Vermont,Miami (OH),108,228.0,120.0,120.0
Wake Forest,Wofford,140,276.0,136.0,136.0
William & Mary,Norfolk State,130,254.0,124.0,124.0
Appalachian State,UNC Greensboro,136,268.0,132.0,132.0
Little Rock,Missouri State,99,206.0,107.0,107.0
Austin Peay,Trevecca Nazarene,134,270.0,136.0,136.0
Binghamton,Bloomsburg,131,258.0,127.0,127.0
Boston University,UMass-Lowell,118,240.0,122.0,122.0
UCF,Bethune-Cookman,164,328.0,164.0,164.0
Georgia State,Berry,119,246.0,127.0,127.0
Grambling,Champion Christian,141,276.0,135.0,135.0
Grand Canyon,Saint Mary's,107,212.0,105.0,105.0
Louisiana,Spring Hill,120,236.0,116.0,116.0
UMass-Lowell,Rivier,147,282.0,135.0,135.0
UMass,St. Peter's,100,202.0,102.0,102.0
Middle Tennessee,Memphis,114,230.0,116.0,116.0
Omaha,Illinois State,164,328.0,164.0,164.0
New Hampshire,New England,112,222.0,110.0,110.0
North Alabama,UT-Southern,137,262.0,125.0,125.0
Oklahoma State,SIU-Edwardsville,159,314.0,155.0,155.0
Penn,John Jay,159,316.0,157.0,157.0
South Alabama,Mobile,135,264.0,129.0,129.0
South Dakota,Northern State,142,282.0,140.0,140.0
Stonehill,Northeastern,134,272.0,138.0,138.0
Stony Brook,Columbia,158,332.0,174.0,174.0
Tennessee State,Wilberforce,100,202.0,102.0,102.0
UTEP,Western New Mexico,133,268.0,135.0,135.0
Tulane,Stetson,125,250.0,125.0,125.0
Western Kentucky,Mercer,134,252.0,118.0,118.0
Abilene Christian,SW Assembl. of God,129,258.0,129.0,129.0
Air Force,Denver,128,256.0,128.0,128.0
Akron,Oakland,178,376.0,198.0,198.0
American,Longwood,149,296.0,147.0,147.0
Belmont,Georgia State,176,354.0,178.0,178.0
Bowling Green State,Chicago State,111,222.0,111.0,111.0
Brown,Florida Gulf Coast,138,266.0,128.0,128.0
Bryant,Manhattan,120,250.0,130.0,130.0
Bucknell,Delaware,135,276.0,141.0,141.0
Buffalo,FDU,178,362.0,184.0,184.0
Central Arkansas,Hendrix,110,212.0,102.0,102.0
Charleston Southern,Toccoa Falls,153,318.0,165.0,165.0
Charlotte,Maine,121,230.0,109.0,109.0
Chattanooga,Covenant,133,270.0,137.0,137.0
Coastal Carolina,Piedmont,174,366.0,192.0,192.0
Colgate,Brown,142,276.0,134.0,134.0
College of Charleston,Iona,140,276.0,136.0,136.0
Colorado,Towson,132,264.0,132.0,132.0
Colorado State,Le Moyne,118,232.0,114.0,114.0
