Date,Home_Team,Away_Team,Closing_Total,Num_Books,Actual_Total,Deviation,Abs_Deviation
2023-11-06,Oregon Ducks,Georgia Bulldogs,141.0,1,153,12.0,12.0
2023-11-06,UConn Huskies,Northern Arizona Lumberjacks,140.9,7,147,6.099999999999994,6.099999999999994
2023-11-06,Purdue Boilermakers,Samford Bulldogs,143.5,7,143,-0.5,0.5
2023-11-16,Wyoming Cowboys,Saint Louis Billikens,150.0,14,148,-2.0,2.0
2023-11-16,LSU Tigers,Dayton Flyers,133.8,14,137,3.1999999999999886,3.1999999999999886
2023-11-16,Coastal Carolina Chanticleers,Wichita St Shockers,144.5,14,163,18.5,18.5
2023-11-16,Towson Tigers,Houston Cougars,127.5,14,114,-13.5,13.5
2023-12-01,Xavier Musketeers,Houston Cougars,138.6,14,126,-12.599999999999994,12.599999999999994
2023-12-16,Texas Longhorns,LSU Tigers,142.3,12,181,38.69999999999999,38.69999999999999
2023-12-16,Indiana Hoosiers,Kansas Jayhawks,146.5,12,146,-0.5,0.5
2023-12-16,Providence Friars,Sacred Heart Pioneers,141.9,9,142,0.09999999999999432,0.09999999999999432
2023-12-16,Drexel Dragons,Albany Great Danes,138.1,9,123,-15.099999999999994,15.099999999999994
2023-12-16,Michigan St Spartans,Baylor Bears,144.4,12,152,7.599999999999994,7.599999999999994
2023-12-16,Bryant Bulldogs,Towson Tigers,132.8,7,194,61.19999999999999,61.19999999999999
2023-12-16,Mercer Bears,Florida Gulf Coast Eagles,134.2,9,135,0.8000000000000114,0.8000000000000114
2023-12-16,Hampton Pirates,James Madison Dukes,162.8,10,159,-3.8000000000000114,3.8000000000000114
2023-12-16,VCU Rams,Temple Owls,137.3,11,165,27.69999999999999,27.69999999999999
2023-12-16,UIC Flames,Western Michigan Broncos,135.6,12,157,21.400000000000006,21.400000000000006
2023-12-16,Michigan Wolverines,Eastern Michigan Eagles,145.9,11,149,3.0999999999999943,3.0999999999999943
2023-12-16,Houston Cougars,Texas A&M Aggies,130.6,11,136,5.400000000000006,5.400000000000006
2023-12-16,Samford Bulldogs,Belmont Bruins,168.0,12,192,24.0,24.0
2023-12-16,Memphis Tigers,Clemson Tigers,151.0,12,156,5.0,5.0
2023-12-16,Georgia Southern Eagles,UNC Wilmington Seahawks,143.1,12,159,15.900000000000006,15.900000000000006
2023-12-16,Ohio State Buckeyes,UCLA Bruins,133.5,11,127,-6.5,6.5
2023-12-16,Utah Utes,Utah Valley Wolverines,142.7,12,138,-4.699999999999989,4.699999999999989
2023-12-16,Virginia Tech Hokies,Vermont Catamounts,138.4,8,124,-14.400000000000006,14.400000000000006
2023-12-16,Purdue Boilermakers,Arizona Wildcats,159.6,12,176,16.400000000000006,16.400000000000006
2023-12-16,DePaul Blue Demons,Northwestern Wildcats,141.7,12,102,-39.69999999999999,39.69999999999999
2023-12-16,Georgia Bulldogs,High Point Panthers,150.6,9,124,-26.599999999999994,26.599999999999994
2023-12-16,Virginia Cavaliers,Northeastern Huskies,127.2,10,110,-17.200000000000003,17.200000000000003
2023-12-31,Green Bay Phoenix,Robert Morris Colonials,137.2,12,139,1.8000000000000114,1.8000000000000114
2023-12-31,Iowa State Cyclones,New Hampshire Wildcats,149.9,9,155,5.099999999999994,5.099999999999994
2023-12-31,Mississippi St Bulldogs,Bethune-Cookman Wildcats,140.6,9,147,6.400000000000006,6.400000000000006
2023-12-31,Milwaukee Panthers,Wright St Raiders,165.8,12,174,8.199999999999989,8.199999999999989
2023-12-31,Oklahoma St Cowboys,South Carolina St Bulldogs,146.2,9,156,9.800000000000011,9.800000000000011
2023-12-31,SIU-Edwardsville Cougars,Western Illinois Leathernecks,134.0,11,156,22.0,22.0
2023-12-31,Utah Utes,Washington Huskies,153.1,12,185,31.900000000000006,31.900000000000006
2024-01-15,Michigan Wolverines,Ohio State Buckeyes,146.9,13,138,-8.900000000000006,8.900000000000006
2024-01-15,Harvard Crimson,Brown Bears,140.1,12,146,5.900000000000006,5.900000000000006
2024-01-15,Minnesota Golden Gophers,Iowa Hawkeyes,158.6,13,163,4.400000000000006,4.400000000000006
2024-01-30,Tennessee Volunteers,South Carolina Gamecocks,136.4,13,122,-14.400000000000006,14.400000000000006
2024-02-14,Army Knights,Boston Univ. Terriers,124.5,8,115,-9.5,9.5
2024-02-14,Penn State Nittany Lions,Michigan St Spartans,144.3,13,152,7.699999999999989,7.699999999999989
2024-02-14,Youngstown St Penguins,Robert Morris Colonials,149.1,13,164,14.900000000000006,14.900000000000006
2024-03-15,Purdue Boilermakers,Michigan St Spartans,143.1,14,129,-14.099999999999994,14.099999999999994
2024-03-15,South Florida Bulls,East Carolina Pirates,136.7,14,140,3.3000000000000114,3.3000000000000114
2024-03-15,Tennessee Volunteers,Mississippi St Bulldogs,142.1,14,129,-13.099999999999994,13.099999999999994
2024-03-15,Northwestern Wildcats,Wisconsin Badgers,137.1,14,131,-6.099999999999994,6.099999999999994
2024-03-15,Auburn Tigers,South Carolina Gamecocks,142.0,14,141,-1.0,1.0
2024-03-15,Houston Cougars,Texas Tech Red Raiders,131.3,13,141,9.699999999999989,9.699999999999989
2024-03-15,Kentucky Wildcats,Texas A&M Aggies,159.6,13,184,24.400000000000006,24.400000000000006
2024-03-15,Florida Atlantic Owls,North Texas Mean Green,137.5,9,148,10.5,10.5
