game_id,date,season,home_team,away_team,home_score,away_score,total,home_margin,home_win
NCAAB_2024_0000,2024-11-15,2024,texas_southern,la_salle,65,75,140,-10,0
NCAAB_2024_0001,2024-11-15,2024,baylor,central_connecticut,83,65,148,18,1
NCAAB_2024_0002,2024-11-15,2024,kentucky,mississippi_valley_st.,71,75,146,-4,0
NCAAB_2024_0003,2024-11-15,2024,ucf,loyola_md,61,55,116,6,1
NCAAB_2024_0004,2024-11-16,2024,uc_davis,lsu,63,85,148,-22,0
NCAAB_2024_0005,2024-11-16,2024,central_michigan,kentucky,67,65,132,2,1
NCAAB_2024_0006,2024-11-16,2024,stetson,northwestern_st.,75,59,134,16,1
NCAAB_2024_0007,2024-11-16,2024,high_point,hampton,59,51,110,8,1
NCAAB_2024_0008,2024-11-17,2024,canisius,kentucky,66,78,144,-12,0
NCAAB_2024_0009,2024-11-17,2024,boston_university,tulane,61,55,116,6,1
NCAAB_2024_0010,2024-11-17,2024,ucf,sacred_heart,86,63,149,23,1
NCAAB_2024_0011,2024-11-17,2024,siu_edwardsville,oakland,72,61,133,11,1
NCAAB_2024_0012,2024-11-18,2024,bethune_cookman,brown,59,70,129,-11,0
NCAAB_2024_0013,2024-11-18,2024,butler,texas_st.,90,58,148,32,1
NCAAB_2024_0014,2024-11-18,2024,lamar,grand_canyon,65,83,148,-18,0
NCAAB_2024_0015,2024-11-18,2024,south_florida,michigan,83,66,149,17,1
NCAAB_2024_0016,2024-11-19,2024,nebraska,northern_iowa,98,62,160,36,1
NCAAB_2024_0017,2024-11-19,2024,virginia,oral_roberts,69,73,142,-4,0
NCAAB_2024_0018,2024-11-19,2024,miami_oh,texas_tech,62,78,140,-16,0
NCAAB_2024_0019,2024-11-19,2024,oregon_st.,yale,86,85,171,1,1
NCAAB_2024_0020,2024-11-20,2024,wagner,george_mason,64,73,137,-9,0
NCAAB_2024_0021,2024-11-20,2024,norfolk_st.,canisius,79,59,138,20,1
NCAAB_2024_0022,2024-11-20,2024,tcu,maryland_eastern_shore,69,48,117,21,1
NCAAB_2024_0023,2024-11-20,2024,northwestern,wichita_st.,73,72,145,1,1
NCAAB_2024_0024,2024-11-21,2024,vanderbilt,radford,49,70,119,-21,0
NCAAB_2024_0025,2024-11-21,2024,georgia,ut_rio_grande_valley,76,71,147,5,1
NCAAB_2024_0026,2024-11-21,2024,alabama,stonehill,75,55,130,20,1
NCAAB_2024_0027,2024-11-21,2024,tarleton_st.,austin_peay,81,90,171,-9,0
NCAAB_2024_0028,2024-11-22,2024,northern_kentucky,wofford,59,67,126,-8,0
NCAAB_2024_0029,2024-11-22,2024,western_illinois,louisiana_monroe,56,64,120,-8,0
NCAAB_2024_0030,2024-11-22,2024,marist,central_michigan,58,58,116,0,0
NCAAB_2024_0031,2024-11-22,2024,nebraska_omaha,indiana,67,70,137,-3,0
NCAAB_2024_0032,2024-11-23,2024,seattle,temple,66,71,137,-5,0
NCAAB_2024_0033,2024-11-23,2024,arkansas_pine_bluff,troy,70,76,146,-6,0
NCAAB_2024_0034,2024-11-23,2024,unc_greensboro,vanderbilt,80,52,132,28,1
NCAAB_2024_0035,2024-11-23,2024,radford,washington_st.,85,71,156,14,1
NCAAB_2024_0036,2024-11-24,2024,indiana_st.,ucf,86,96,182,-10,0
NCAAB_2024_0037,2024-11-24,2024,oakland,weber_st.,75,65,140,10,1
NCAAB_2024_0038,2024-11-24,2024,tarleton_st.,norfolk_st.,81,70,151,11,1
NCAAB_2024_0039,2024-11-24,2024,wyoming,nevada,80,68,148,12,1
NCAAB_2024_0040,2024-11-25,2024,sam_houston_st.,central_connecticut,68,71,139,-3,0
NCAAB_2024_0041,2024-11-25,2024,kansas,west_virginia,88,91,179,-3,0
NCAAB_2024_0042,2024-11-25,2024,uc_riverside,eastern_illinois,61,68,129,-7,0
NCAAB_2024_0043,2024-11-25,2024,eastern_michigan,tennessee_st.,63,57,120,6,1
NCAAB_2024_0044,2024-11-26,2024,cal_st._northridge,southern_utah,61,56,117,5,1
NCAAB_2024_0045,2024-11-26,2024,san_diego,saint_mary's,74,64,138,10,1
NCAAB_2024_0046,2024-11-26,2024,miami_fl,virginia,98,45,143,53,1
NCAAB_2024_0047,2024-11-26,2024,georgia_southern,davidson,81,64,145,17,1
NCAAB_2024_0048,2024-11-27,2024,seton_hall,fairleigh_dickinson,76,70,146,6,1
NCAAB_2024_0049,2024-11-27,2024,tulsa,usc_upstate,87,69,156,18,1
NCAAB_2024_0050,2024-11-27,2024,denver,wake_forest,96,79,175,17,1
NCAAB_2024_0051,2024-11-27,2024,north_carolina,fiu,79,75,154,4,1
NCAAB_2024_0052,2024-11-28,2024,stonehill,weber_st.,49,57,106,-8,0
NCAAB_2024_0053,2024-11-28,2024,binghamton,saint_peter's,55,57,112,-2,0
NCAAB_2024_0054,2024-11-28,2024,eastern_michigan,texas,87,66,153,21,1
NCAAB_2024_0055,2024-11-28,2024,eastern_washington,charleston,69,75,144,-6,0
NCAAB_2024_0056,2024-11-29,2024,chattanooga,temple,82,72,154,10,1
