Date,Home_Team,Away_Team,Home_Score,Away_Score,Actual_Total
2023-11-06,LSU,Colorado,78,92,170
2023-11-06,Kansas,North Carolina Central,99,56,155
2023-11-06,Duke,Dartmouth,92,54,146
2023-11-06,Purdue,Samford,98,45,143
2023-11-06,Iowa,FDU,102,46,148
2023-11-06,Michigan State,James Madison,76,79,155
2023-11-06,UCLA,Purdue,92,49,141
2023-11-06,Utah,Mississippi Valley State,104,45,149
2023-11-06,Marquette,Northern Illinois,92,70,162
2023-11-06,South Carolina,Notre Dame,100,71,171
2023-11-06,UConn,Northern Arizona,95,52,147
2023-11-06,USC,Ohio State,83,74,157
2023-11-06,Houston,Louisiana-Monroe,84,31,115
2023-11-06,Virginia Tech,High Point,94,55,149
2023-11-06,Tennessee,Tennessee Tech,80,42,122
2023-11-06,Ole Miss,Queens (NC),91,44,135
2023-11-06,Arizona,Morgan State,122,59,181
2023-11-06,Miami (FL),NJIT,101,60,161
2023-11-06,Maryland,Harvard,98,75,173
2023-11-06,Arkansas,Alcorn State,93,59,152
2023-11-06,Texas A&M,East Texas A&M,78,46,124
2023-11-06,Kentucky,New Mexico State,86,46,132
2023-11-06,Cincinnati,Louisville,59,77,136
2023-11-06,San Diego State,Cal State Fullerton,83,57,140
2023-11-06,Florida State,Charleston Southern,99,63,162
2023-11-06,Texas,Incarnate Word,88,56,144
2023-11-06,UNC,Radford,86,70,156
2023-11-06,Baylor,Southern,85,53,138
2023-11-06,USC,Kansas State,82,69,151
2023-11-06,Creighton,North Dakota State,75,52,127
2023-11-06,Villanova,American,90,63,153
2023-11-06,Saint Mary's,Cal State Stanislaus,107,28,135
2023-11-06,Washington State,Cal Poly,78,61,139
2023-11-06,Alabama,Morehead State,105,73,178
2023-11-06,Mississippi State,Alcorn State,77,42,119
2023-11-06,Illinois,Eastern Illinois,80,52,132
2023-11-06,Stephen F. Austin,Panhandle State,118,46,164
2023-11-06,Ball State,Tennessee Tech,97,64,161
2023-11-06,Chattanooga,King (TN),88,32,120
2023-11-06,Clemson,Winthrop,71,41,112
2023-11-06,College of Charleston,Pfeiffer,117,30,147
2023-11-06,Duke,Richmond,83,53,136
2023-11-06,Georgia Tech,Coastal Carolina,83,53,136
2023-11-06,Hofstra,St. Joseph's–Long Island,101,48,149
2023-11-06,IU Indianapolis,Spalding,70,63,133
2023-11-06,Iowa State,Butler,82,55,137
2023-11-06,McNeese State,Dillard,76,47,123
2023-11-06,Kansas City,Bradley,73,66,139
2023-11-06,Missouri,Belmont,72,61,133
2023-11-06,Samford,Auburn Montgomery,78,51,129
2023-11-06,Southeastern Louisiana,Millsaps,61,30,91
2023-11-06,Southern Miss,William Carey,88,46,134
2023-11-06,Stephen F. Austin,North American,96,68,164
2023-11-06,Troy,Univ. of Ft. Lauderdale,92,47,139
2023-11-06,Vanderbilt,Kennesaw State,98,51,149
2023-11-06,Utah Tech,La Verne,116,59,175
2023-11-06,Marquette,UT-Martin,84,51,135
2023-11-06,Nebraska,Northwestern State,90,42,132
2023-11-06,Oklahoma,Wichita State,92,68,160
2023-11-06,Prairie View,Kansas Christian,89,66,155
2023-11-06,UC-Davis,Academy of Art,102,52,154
2023-11-06,George Mason,Bowie State,96,45,141
2023-11-06,UAB,Alabama A&M,70,63,133
2023-11-06,Liberty,Frostburg State,68,46,114
2023-11-06,Old Dominion,Lincoln (PA),72,50,122
2023-11-06,Oregon,Georgia,82,71,153
