win_rate_pct,win_probability,decimal_odds,american_odds_exact,american_odds_rounded,min_acceptable_odds
50.0,0.5,2.0,100,100,+100
50.1,0.501,2.0,-100.4,-100,-100
50.2,0.502,1.99,-100.8,-100,-100
50.3,0.503,1.99,-101.2,-100,-100
50.4,0.504,1.98,-101.6,-100,-100
50.5,0.505,1.98,-102.0,-100,-100
50.6,0.506,1.98,-102.4,-100,-100
50.7,0.507,1.97,-102.8,-105,-105
50.8,0.508,1.97,-103.3,-105,-105
50.9,0.509,1.96,-103.7,-105,-105
51.0,0.51,1.96,-104.1,-105,-105
51.1,0.511,1.96,-104.5,-105,-105
51.2,0.512,1.95,-104.9,-105,-105
51.3,0.513,1.95,-105.3,-105,-105
51.4,0.514,1.95,-105.8,-105,-105
51.5,0.515,1.94,-106.2,-105,-105
51.6,0.516,1.94,-106.6,-105,-105
51.7,0.517,1.93,-107.0,-105,-105
51.8,0.518,1.93,-107.5,-105,-105
51.9,0.519,1.93,-107.9,-110,-110
52.0,0.52,1.92,-108.3,-110,-110
52.1,0.521,1.92,-108.8,-110,-110
52.2,0.522,1.92,-109.2,-110,-110
52.3,0.523,1.91,-109.6,-110,-110
52.4,0.524,1.91,-110.1,-110,-110
52.5,0.525,1.9,-110.5,-110,-110
52.6,0.526,1.9,-111.0,-110,-110
52.7,0.527,1.9,-111.4,-110,-110
52.8,0.528,1.89,-111.9,-110,-110
52.9,0.529,1.89,-112.3,-110,-110
53.0,0.53,1.89,-112.8,-115,-115
53.1,0.531,1.88,-113.2,-115,-115
53.2,0.532,1.88,-113.7,-115,-115
53.3,0.533,1.88,-114.1,-115,-115
53.4,0.534,1.87,-114.6,-115,-115
53.5,0.535,1.87,-115.1,-115,-115
53.6,0.536,1.87,-115.5,-115,-115
53.7,0.537,1.86,-116.0,-115,-115
53.8,0.538,1.86,-116.5,-115,-115
53.9,0.539,1.86,-116.9,-115,-115
54.0,0.54,1.85,-117.4,-115,-115
54.1,0.541,1.85,-117.9,-120,-120
54.2,0.542,1.85,-118.3,-120,-120
54.3,0.543,1.84,-118.8,-120,-120
54.4,0.544,1.84,-119.3,-120,-120
