win_rate_pct,win_probability,decimal_odds,american_odds_exact,american_odds_rounded,min_acceptable_odds
50.0,0.5,2.0,100,100,+100
51.0,0.51,1.96,-104.1,-105,-105
52.0,0.52,1.92,-108.3,-110,-110
52.5,0.525,1.9,-110.5,-110,-110
53.0,0.53,1.89,-112.8,-115,-115
53.4,0.534,1.87,-114.6,-115,-115
54.0,0.54,1.85,-117.4,-115,-115
55.0,0.55,1.82,-122.2,-120,-120
56.0,0.56,1.79,-127.3,-125,-125
57.0,0.57,1.75,-132.6,-135,-135
58.0,0.58,1.72,-138.1,-140,-140
59.0,0.59,1.69,-143.9,-145,-145
60.0,0.6,1.67,-150.0,-150,-150
61.0,0.61,1.64,-156.4,-155,-155
62.0,0.62,1.61,-163.2,-165,-165
63.0,0.63,1.59,-170.3,-170,-170
64.0,0.64,1.56,-177.8,-180,-180
65.0,0.65,1.54,-185.7,-185,-185
66.0,0.66,1.52,-194.1,-195,-195
67.0,0.67,1.49,-203.0,-205,-205
68.0,0.68,1.47,-212.5,-215,-215
69.0,0.69,1.45,-222.6,-225,-225
70.0,0.7,1.43,-233.3,-235,-235
75.0,0.75,1.33,-300.0,-300,-300
