team_id,team_name,games_played,wins,losses,pace,off_rating,def_rating,net_rating,pts_per_game,opp_pts_per_game,efg_pct,ts_pct
1611661330,Atlanta Dream,40,15,25,94.75,96.6,100.1,-3.6,77.0,100.1,0.452,0.501
1610612737,Atlanta Hawks,87,40,47,103.47,113.0,114.2,-1.2,116.3,114.2,0.543,0.577
1612709890,Austin Spurs,34,22,12,100.62,114.2,102.3,11.9,114.9,102.3,0.541,0.593
1612709913,Birmingham Squadron,34,12,22,97.57,108.7,112.7,-4.0,106.4,112.7,0.537,0.581
1610612738,Boston Celtics,87,63,24,96.74,119.2,110.4,8.9,115.1,110.4,0.559,0.589
1610612751,Brooklyn Nets,87,29,58,97.12,107.9,114.8,-6.9,104.3,114.8,0.516,0.552
1612709928,Capital City Go-Go,34,20,14,99.78,114.5,109.1,5.4,114.3,109.1,0.565,0.624
1610612766,Charlotte Hornets,90,26,64,98.44,106.7,113.8,-7.1,103.7,113.8,0.503,0.537
1610612741,Chicago Bulls,87,41,46,103.64,112.6,114.5,-1.9,116.1,114.5,0.55,0.582
1611661329,Chicago Sky,40,13,27,95.72,97.0,103.5,-6.5,77.4,103.5,0.457,0.495
45,China,3,0,3,93.8,75.8,121.5,-45.6,59.7,121.5,0.393,0.439
1612709931,Ciudad de Mexico Capitanes,34,16,18,98.93,106.5,108.6,-2.1,106.3,108.6,0.523,0.581
1610612739,Cleveland Cavaliers,87,66,21,100.7,120.0,111.4,8.7,120.3,111.4,0.575,0.605
1612709893,Cleveland Charge,34,16,18,99.64,110.0,111.9,-1.9,110.0,111.9,0.525,0.581
1612709929,College Park Skyhawks,34,17,17,100.08,110.4,110.8,-0.4,111.3,110.8,0.512,0.566
1611661323,Connecticut Sun,40,28,12,93.32,102.3,94.1,8.1,80.1,94.1,0.488,0.533
1610612742,Dallas Mavericks,87,40,47,100.35,113.0,114.6,-1.7,112.6,114.6,0.547,0.581
1611661321,Dallas Wings,40,9,31,98.05,102.1,111.7,-9.5,84.2,111.7,0.49,0.531
1612709909,Delaware Blue Coats,34,14,20,100.92,109.6,113.6,-4.0,110.8,113.6,0.517,0.579
1610612743,Denver Nuggets,87,52,35,100.53,117.9,114.4,3.6,118.4,114.4,0.567,0.599
1610612765,Detroit Pistons,87,46,41,100.44,113.8,111.8,2.0,113.8,111.8,0.543,0.576
1610612744,Golden State Warriors,90,55,35,99.78,113.7,109.5,4.2,112.1,109.5,0.536,0.569
1612709917,Grand Rapids Gold,34,15,19,98.59,113.3,115.8,-2.4,112.3,115.8,0.538,0.585
1612709922,Greensboro Swarm,34,20,14,97.69,110.6,107.3,3.3,108.5,107.3,0.522,0.589
1610612745,Houston Rockets,87,54,33,99.42,114.2,109.8,4.4,113.0,109.8,0.52,0.551
1611661325,Indiana Fever,40,20,20,97.54,104.2,107.5,-3.4,85.0,107.5,0.523,0.559
1612709910,Indiana Mad Ants,34,20,14,99.4,114.3,110.7,3.6,113.7,110.7,0.55,0.611
1610612754,Indiana Pacers,87,51,36,101.14,114.5,112.9,1.6,115.8,112.9,0.558,0.591
1612709911,Iowa Wolves,34,7,27,102.21,109.2,118.8,-9.7,111.7,118.8,0.521,0.571
1610612746,LA Clippers,87,54,33,98.3,114.5,109.2,5.3,112.0,109.2,0.553,0.589
1611661319,Las Vegas Aces,40,27,13,97.3,106.1,99.6,6.5,86.4,99.6,0.523,0.567
1612709921,Long Island Nets,34,17,17,102.12,112.4,110.9,1.4,115.2,110.9,0.532,0.589
1610612747,Los Angeles Lakers,90,53,37,98.6,113.9,113.2,0.6,110.9,113.2,0.547,0.583
1611661320,Los Angeles Sparks,40,8,32,96.79,97.0,105.7,-8.6,78.4,105.7,0.478,0.523
1612709915,Maine Celtics,34,21,13,99.84,110.9,107.8,3.1,112.4,107.8,0.538,0.584
1610612763,Memphis Grizzlies,91,54,37,103.57,116.8,112.0,4.9,119.3,112.0,0.55,0.584
1612709926,Memphis Hustle,34,15,19,103.78,113.9,115.8,-1.9,119.0,115.8,0.545,0.597
1610612748,Miami Heat,91,45,46,97.63,112.6,111.4,1.2,109.5,111.4,0.545,0.578
1610612749,Milwaukee Bucks,87,48,39,100.34,114.1,112.9,1.2,113.9,112.9,0.564,0.594
1611661324,Minnesota Lynx,40,30,10,94.83,102.8,94.8,8.0,82.0,94.8,0.518,0.553
1610612750,Minnesota Timberwolves,87,53,34,98.44,115.3,110.1,5.2,113.3,110.1,0.55,0.585
1612709932,Motor City Cruise,34,19,15,100.65,111.9,109.5,2.4,112.9,109.5,0.544,0.592
1610612740,New Orleans Pelicans,87,21,66,99.76,109.1,118.4,-9.3,108.2,118.4,0.518,0.551
1610612752,New York Knicks,87,54,33,98.03,116.6,112.9,3.8,114.4,112.9,0.555,0.588
1611661313,New York Liberty,40,32,8,96.15,107.0,95.3,11.7,85.6,95.3,0.521,0.561
1612709889,Oklahoma City Blue,34,18,16,102.05,109.9,107.2,2.7,113.2,107.2,0.53,0.588
1610612760,Oklahoma City Thunder,90,71,19,101.07,117.7,106.4,11.3,117.4,106.4,0.554,0.587
1610612753,Orlando Magic,87,43,44,96.93,109.1,109.2,-0.1,105.1,109.2,0.514,0.553
1612709925,Osceola Magic,34,22,12,102.68,115.5,112.6,2.9,119.4,112.6,0.55,0.614
1610612755,Philadelphia 76ers,90,29,61,98.6,110.8,116.2,-5.4,108.2,116.2,0.525,0.563
1611661317,Phoenix Mercury,40,19,21,95.88,101.3,105.4,-4.1,81.5,105.4,0.503,0.547
1610612756,Phoenix Suns,87,38,49,98.59,114.3,117.1,-2.8,112.4,117.1,0.559,0.593
1610612757,Portland Trail Blazers,87,39,48,99.92,110.2,112.9,-2.7,109.4,112.9,0.517,0.551
1612709920,Raptors 905,34,13,21,103.6,109.9,111.9,-1.9,114.3,111.9,0.538,0.599
1612709908,Rio Grande Valley Vipers,34,20,14,102.7,113.7,110.2,3.5,116.9,110.2,0.552,0.599
1612709933,Rip City Remix,34,14,20,104.88,108.5,112.6,-4.1,113.2,112.6,0.531,0.581
1610612758,Sacramento Kings,87,42,45,99.13,115.0,114.5,0.6,114.0,114.5,0.547,0.581
1710612758,Sacramento Kings 1,3,2,1,95.8,111.7,81.6,30.1,89.3,81.6,0.525,0.554
1810612758,Sacramento Kings 2,3,1,2,102.2,110.9,112.5,-1.6,94.7,112.5,0.557,0.592
1612709903,Salt Lake City Stars,34,21,13,102.11,117.1,114.8,2.3,119.8,114.8,0.539,0.602
1610612759,San Antonio Spurs,90,39,51,100.04,112.3,115.2,-2.9,111.0,115.2,0.534,0.566
1612709924,San Diego Clippers,34,12,22,99.83,108.5,111.3,-2.9,108.4,111.3,0.51,0.569
1612709902,Santa Cruz Warriors,34,20,14,103.68,114.2,111.5,2.7,118.6,111.5,0.554,0.604
1611661328,Seattle Storm,40,25,15,97.31,102.1,96.4,5.6,83.2,96.4,0.478,0.525
1612709904,Sioux Falls Skyforce,34,18,16,100.64,111.4,111.5,0.0,112.6,111.5,0.536,0.593
