Rank,Team,Conference,Record,AdjEM,AdjOffEff,AdjDefEff,AdjTempo
1,Connecticut 4,BE,31-8,29.86,120.8,90.9,66.6
2,Houston 1,Amer,33-4,27.72,118.1,90.4,63.5
3,UCLA 2,P12,31-6,27.29,115.2,88.0,66.1
4,Alabama 1,SEC,31-6,27.28,115.5,88.2,72.6
5,Texas 2,B12,29-9,24.43,116.5,92.1,68.8
6,Tennessee 4,SEC,25-11,23.8,111.3,87.5,65.1
7,Purdue 1,B10,29-6,23.24,117.7,94.5,64.2
8,Gonzaga 3,WCC,31-6,23.02,122.3,99.3,70.3
9,Kansas 1,B12,28-8,22.85,114.6,91.8,69.2
10,Marquette 2,BE,29-7,22.38,119.1,96.7,68.1
11,Arizona 2,P12,28-7,21.9,118.2,96.3,72.0
12,Creighton 6,BE,24-13,21.83,115.0,93.2,67.8
13,Saint Mary's 5,WCC,27-8,21.24,112.6,91.4,61.6
14,San Diego St. 5,MWC,32-7,20.34,110.8,90.4,65.7
15,Xavier 3,BE,27-10,19.95,118.5,98.6,70.5
16,Baylor 3,B12,23-11,19.68,121.3,101.6,66.5
17,Florida Atlantic 9,CUSA,35-4,19.38,115.1,95.7,67.6
18,Duke 5,ACC,27-9,19.35,113.2,93.9,64.9
19,West Virginia 9,B12,19-15,18.82,116.9,98.1,68.5
20,Memphis 8,Amer,26-9,18.53,114.6,96.1,71.1
21,Kansas St. 3,B12,26-10,18.51,113.5,95.0,70.1
22,Arkansas 8,SEC,22-14,18.05,112.1,94.0,69.6
23,Maryland 8,B10,22-13,17.99,113.5,95.6,64.2
24,Miami FL 5,ACC,29-8,17.94,119.1,101.2,68.8
25,TCU 6,B12,22-13,17.78,112.1,94.3,69.7
26,Michigan St. 7,B10,21-13,17.61,114.2,96.6,64.7
27,Kentucky 6,SEC,22-12,17.4,116.2,98.8,65.8
28,Utah St. 10,MWC,26-9,17.39,116.3,98.9,68.6
29,Iowa St. 6,B12,19-14,17.04,108.1,91.0,64.1
30,Indiana 4,B10,23-12,17.03,114.2,97.2,67.8
31,North Texas,CUSA,31-7,16.89,111.0,94.1,59.1
32,Auburn 9,SEC,21-13,16.77,112.5,95.7,67.6
33,Texas A&M 7,SEC,25-10,16.71,113.7,97.0,65.9
34,Virginia 4,ACC,25-8,16.37,110.8,94.5,61.5
35,Illinois 9,B10,20-13,16.22,111.1,94.9,69.5
36,Penn St. 10,B10,23-14,16.04,117.2,101.1,64.3
37,Boise St. 10,MWC,24-10,15.85,110.9,95.1,66.2
38,Northwestern 7,B10,22-12,15.59,109.9,94.3,64.4
39,Rutgers,B10,19-15,15.53,106.3,90.8,65.7
40,Providence 11,BE,21-12,15.39,116.2,100.8,66.7
41,Iowa 8,B10,19-14,15.39,120.0,104.6,69.5
42,Oregon,P12,21-15,15.13,112.9,97.8,66.6
43,North Carolina,ACC,20-13,15.01,112.2,97.2,68.8
44,Michigan,B10,18-16,14.96,112.3,97.4,67.4
45,USC 10,P12,22-11,14.85,112.3,97.5,68.0
46,Oklahoma St.,B12,20-16,14.69,106.6,91.9,67.4
47,UAB,CUSA,29-10,14.64,112.5,97.9,70.5
48,Liberty,ASun,27-9,14.54,112.1,97.5,64.8
49,Ohio St.,B10,16-19,14.11,115.7,101.6,65.9
50,Cincinnati,Amer,23-13,13.99,112.0,98.0,68.6
51,Villanova,BE,17-17,13.7,113.4,99.7,63.8
52,N.C. State 11,ACC,23-11,13.55,113.6,100.0,69.0
53,Mississippi St. 11,SEC,21-13,13.49,104.8,91.4,63.6
54,Oklahoma,B12,15-17,13.41,110.8,97.4,65.2
55,Arizona St. 11,P12,23-13,13.26,109.0,95.8,68.1
56,UCF,Amer,19-15,13.21,109.0,95.8,64.7
57,Missouri 7,SEC,25-10,13.07,118.3,105.3,68.7
58,Seton Hall,BE,17-16,13.06,107.2,94.1,66.2
59,Pittsburgh 11,ACC,24-12,12.86,114.2,101.3,67.3
60,VCU 12,A10,27-8,12.84,106.6,93.8,67.9
61,Wisconsin,B10,20-15,12.82,106.9,94.1,63.6
62,Nevada 11,MWC,22-11,12.74,111.8,99.1,65.9
63,Texas Tech,B12,16-16,12.73,111.5,98.7,67.1
64,Utah Valley,WAC,28-9,12.63,107.9,95.3,70.1
65,Yale,Ivy,21-9,12.63,110.1,97.5,66.2
66,New Mexico,MWC,22-12,12.26,114.7,102.5,71.6
67,Washington St.,P12,17-17,12.11,111.3,99.2,64.3
68,Clemson,ACC,23-11,12.04,110.4,98.4,68.1
69,Drake 12,MVC,27-8,11.9,108.4,96.5,66.3
70,Colorado,P12,18-17,11.86,107.3,95.5,68.7
71,Charleston 12,CAA,31-4,11.85,110.6,98.7,70.8
72,Oral Roberts 12,Sum,30-5,11.65,113.9,102.2,70.2
73,Sam Houston St.,WAC,26-8,11.63,105.8,94.1,64.4
74,Florida,SEC,16-17,11.48,107.0,95.5,69.3
75,Utah,P12,17-15,11.46,107.3,95.8,66.0
76,Iona 13,MAAC,27-8,11.35,110.7,99.4,68.7
77,BYU,WCC,19-15,11.22,108.9,97.7,69.4
78,Kent St. 13,MAC,28-7,11.2,107.7,96.5,67.7
79,Dayton,A10,22-12,11.12,109.8,98.6,62.2
80,Virginia Tech,ACC,19-15,10.51,113.9,103.4,66.6
81,Vanderbilt,SEC,22-15,10.29,113.9,103.7,66.6
