Rank,Team,Conference,AdjTempo
1,Duke 1,ACC,66.0
2,Houston 1,B12,61.9
3,Florida 1,SEC,70.1
4,Auburn 1,SEC,68.2
5,Tennessee 2,SEC,63.7
6,Alabama 2,SEC,75.3
7,Michigan St. 2,B10,67.5
8,Gonzaga 8,WCC,70.5
9,Texas Tech 3,B12,66.1
10,Maryland 4,B10,69.6
11,Iowa St. 3,B12,68.8
12,Wisconsin 3,B10,68.0
13,Arizona 4,B12,70.3
14,St. John's 2,BE,70.0
15,Purdue 4,B10,65.1
16,Kentucky 3,SEC,70.9
17,Illinois 6,B10,71.5
18,Texas A&M 4,SEC,66.8
19,Missouri 6,SEC,68.6
20,UCLA 7,B10,65.0
21,Michigan 5,B10,70.1
22,Mississippi 6,SEC,68.1
23,Clemson 5,ACC,64.6
24,Kansas 7,B12,68.6
25,Saint Mary's 7,WCC,61.7
26,BYU 6,B12,67.6
27,Oregon 5,B10,68.1
28,Louisville 8,ACC,69.1
29,Marquette 7,BE,67.7
30,Baylor 9,B12,64.6
31,North Carolina 11,ACC,70.7
32,Connecticut 8,BE,64.0
33,Mississippi St. 8,SEC,68.3
34,VCU 11,A10,66.3
35,Creighton 9,BE,67.3
36,Arkansas 10,SEC,69.4
37,Ohio St.,B10,67.3
38,Georgia 9,SEC,66.7
39,UC San Diego 12,BW,65.8
40,Oklahoma 9,SEC,68.8
41,New Mexico 10,MWC,72.5
42,Colorado St. 12,MWC,66.0
43,Xavier 11,BE,69.2
44,Northwestern,B10,65.2
45,Indiana,B10,68.2
46,Nebraska,B10,67.8
47,Texas 11,SEC,67.6
48,Vanderbilt 10,SEC,69.5
49,Boise St.,MWC,66.0
50,SMU,ACC,68.9
51,San Diego St. 11,MWC,66.3
52,Drake 11,MVC,59.4
53,West Virginia,B12,64.3
54,Memphis 5,Amer,71.0
55,Cincinnati,B12,66.1
56,Villanova,BE,63.4
57,USC,B10,68.6
58,Penn St.,B10,70.1
59,Santa Clara,WCC,69.2
60,McNeese 12,Slnd,65.9
61,Utah St. 10,MWC,67.6
62,Iowa,B10,69.8
63,Pittsburgh,ACC,66.5
64,Liberty 12,CUSA,65.6
65,Kansas St.,B12,67.1
66,San Francisco,WCC,68.1
67,UCF,B12,72.2
68,UC Irvine,BW,69.3
69,South Carolina,SEC,65.5
70,Rutgers,B10,68.9
71,North Texas,Amer,61.0
72,Wake Forest,ACC,67.3
73,Arizona St.,B12,68.9
74,Yale 13,Ivy,67.7
75,Butler,BE,68.0
76,Utah,B12,69.1
