Rank,Team,Conference,Record,AdjEM,AdjOffEff,AdjDefEff,AdjTempo
1,Duke 1,ACC,35-4,39.29,130.1,90.8,66.0
2,Houston 1,B12,35-5,36.59,123.4,86.8,61.9
3,Florida 1,SEC,36-4,36.46,128.2,91.8,70.1
4,Auburn 1,SEC,32-6,35.05,127.2,92.1,68.2
5,Tennessee 2,SEC,30-8,30.93,120.7,89.7,63.7
6,Alabama 2,SEC,28-9,30.34,126.8,96.5,75.3
7,Michigan St. 2,B10,30-7,28.48,118.8,90.4,67.5
8,Gonzaga 8,WCC,26-9,28.01,124.7,96.7,70.5
9,Texas Tech 3,B12,28-9,27.92,125.4,97.5,66.1
10,Maryland 4,B10,27-9,27.07,118.9,91.9,69.6
11,Iowa St. 3,B12,25-10,26.65,119.8,93.2,68.8
12,Wisconsin 3,B10,27-10,26.57,122.9,96.3,68.0
13,Arizona 4,B12,24-13,26.35,123.7,97.3,70.3
14,St. John's 2,BE,31-5,26.06,114.0,88.0,70.0
15,Purdue 4,B10,24-12,25.36,124.6,99.2,65.1
16,Kentucky 3,SEC,24-12,24.54,123.7,99.2,70.9
17,Illinois 6,B10,22-13,24.32,121.9,97.6,71.5
18,Texas A&M 4,SEC,23-11,23.66,116.5,92.9,66.8
19,Missouri 6,SEC,22-12,23.57,124.4,100.8,68.6
20,UCLA 7,B10,23-11,23.46,117.3,93.8,65.0
21,Michigan 5,B10,27-10,23.45,116.5,93.1,70.1
22,Mississippi 6,SEC,24-12,23.34,119.1,95.8,68.1
23,Clemson 5,ACC,27-7,23.22,118.2,95.0,64.6
24,Kansas 7,B12,21-13,22.94,115.9,93.0,68.6
25,Saint Mary's 7,WCC,29-6,22.73,114.7,92.0,61.7
26,BYU 6,B12,26-10,22.31,124.1,101.8,67.6
27,Oregon 5,B10,25-10,21.85,117.6,95.8,68.1
28,Louisville 8,ACC,27-8,21.73,118.1,96.3,69.1
29,Marquette 7,BE,23-11,21.01,117.4,96.4,67.7
30,Baylor 9,B12,20-15,20.83,121.3,100.4,64.6
31,North Carolina 11,ACC,23-14,20.33,119.2,98.9,70.7
32,Connecticut 8,BE,24-11,20.18,121.6,101.4,64.0
33,Mississippi St. 8,SEC,21-13,20.02,118.9,98.8,68.3
34,VCU 11,A10,28-7,19.53,116.0,96.5,66.3
35,Creighton 9,BE,25-11,19.44,117.8,98.3,67.3
36,Arkansas 10,SEC,22-14,19.33,114.4,95.1,69.4
37,Ohio St.,B10,17-15,19.08,118.2,99.1,67.3
38,Georgia 9,SEC,20-13,18.57,115.3,96.8,66.7
39,UC San Diego 12,BW,30-5,18.25,115.0,96.7,65.8
40,Oklahoma 9,SEC,20-14,17.95,118.2,100.3,68.8
41,New Mexico 10,MWC,27-8,17.78,112.9,95.1,72.5
42,Colorado St. 12,MWC,26-10,17.61,116.8,99.2,66.0
43,Xavier 11,BE,22-12,17.19,116.2,99.0,69.2
44,Northwestern,B10,17-16,17.02,114.3,97.3,65.2
45,Indiana,B10,19-13,16.98,114.2,97.2,68.2
