team_abbr,Team,en_goals_for,en_goals_against,en_differential,en_situations,en_success_rate
col,COLORADO AVALANCHE,1,0,1,1,0.01
ana,ANAHEIM DUCKS,2,1,1,4,0.0025
lak,LOS ANGELES KINGS,4,2,2,8,0.0025
sea,SEATTLE KRAKEN,2,1,1,4,0.0025
tbl,TAMPA BAY LIGHTNING,1,1,0,6,0.0
njd,NEW JERSEY DEVILS,2,2,0,4,0.0
phi,PHILADELPHIA FLYERS,2,2,0,8,0.0
pit,PITTSBURGH PENGUINS,1,1,0,4,0.0
ott,OTTAWA SENATORS,3,4,-1,7,-0.0014299999999999998
bos,BOSTON BRUINS,1,2,-1,6,-0.00167
van,VANCOUVER CANUCKS,4,6,-2,11,-0.00182
sjs,SAN JOSE SHARKS,1,2,-1,5,-0.002
dal,DALLAS STARS,2,3,-1,5,-0.002
chi,CHICAGO BLACKHAWKS,0,1,-1,4,-0.0025
vgk,VEGAS GOLDEN KNIGHTS,1,2,-1,4,-0.0025
cbj,COLUMBUS BLUE JACKETS,1,3,-2,7,-0.0028599999999999997
wsh,WASHINGTON CAPITALS,1,3,-2,6,-0.00333
nsh,NASHVILLE PREDATORS,2,5,-3,9,-0.00333
mtl,MONTREAL CANADIENS,1,3,-2,6,-0.00333
edm,EDMONTON OILERS,1,3,-2,6,-0.00333
tor,TORONTO MAPLE LEAFS,0,3,-3,8,-0.00375
car,CAROLINA HURRICANES,1,3,-2,5,-0.004
det,DETROIT RED WINGS,0,2,-2,4,-0.005
cgy,CALGARY FLAMES,0,5,-5,10,-0.005
wpg,WINNIPEG JETS,0,3,-3,6,-0.005
fla,FLORIDA PANTHERS,1,5,-4,7,-0.00571
uta,UTAH MAMMOTH,0,4,-4,6,-0.006670000000000001
stl,ST. LOUIS BLUES,0,3,-3,4,-0.0075
min,MINNESOTA WILD,0,6,-6,7,-0.00857
buf,BUFFALO SABRES,0,6,-6,7,-0.00857
