team_abbr,Team,en_goals_for,en_goals_against,en_differential,en_situations,en_success_rate,en_goals_for_offensive,en_goals_against_offensive,en_situations_offensive,en_goals_for_defensive,en_goals_against_defensive,en_situations_defensive
ana,ANAHEIM DUCKS,6,4,2,11,0.5454545454545454,2,1,4,4,3,7
bos,BOSTON BRUINS,4,5,-1,14,0.2857142857142857,1,2,6,3,3,8
buf,BUFFALO SABRES,1,7,-6,11,0.09090909090909091,0,7,8,1,0,3
car,CAROLINA HURRICANES,5,3,2,11,0.45454545454545453,1,3,5,4,0,6
cbj,COLUMBUS BLUE JACKETS,3,5,-2,13,0.23076923076923078,1,3,7,2,2,6
cgy,CALGARY FLAMES,1,5,-4,12,0.08333333333333333,0,5,10,1,0,2
chi,CHICAGO BLACKHAWKS,4,3,1,12,0.3333333333333333,0,1,4,4,2,8
col,COLORADO AVALANCHE,5,0,5,9,0.5555555555555556,1,0,1,4,0,8
dal,DALLAS STARS,4,3,1,13,0.3076923076923077,2,3,5,2,0,8
det,DETROIT RED WINGS,7,4,3,14,0.5,0,2,4,7,2,10
edm,EDMONTON OILERS,4,3,1,10,0.4,1,3,6,3,0,4
fla,FLORIDA PANTHERS,1,6,-5,11,0.09090909090909091,1,5,7,0,1,4
lak,LOS ANGELES KINGS,7,2,5,13,0.5384615384615384,4,2,8,3,0,5
min,MINNESOTA WILD,3,8,-5,12,0.25,0,6,7,3,2,5
mtl,MONTREAL CANADIENS,2,7,-5,13,0.15384615384615385,1,3,6,1,4,7
njd,NEW JERSEY DEVILS,8,4,4,13,0.6153846153846154,2,2,4,6,2,9
nsh,NASHVILLE PREDATORS,5,8,-3,17,0.29411764705882354,2,5,9,3,3,8
nyi,NEW YORK ISLANDERS,5,4,1,13,0.38461538461538464,2,2,6,3,2,7
nyr,NEW YORK RANGERS,3,6,-3,11,0.2727272727272727,0,6,7,3,0,4
ott,OTTAWA SENATORS,4,5,-1,11,0.36363636363636365,3,4,7,1,1,4
phi,PHILADELPHIA FLYERS,6,2,4,12,0.5,2,2,8,4,0,4
pit,PITTSBURGH PENGUINS,7,1,6,12,0.5833333333333334,1,1,4,6,0,8
sea,SEATTLE KRAKEN,4,2,2,10,0.4,2,1,4,2,1,6
sjs,SAN JOSE SHARKS,2,4,-2,9,0.2222222222222222,1,2,5,1,2,4
stl,ST. LOUIS BLUES,3,4,-1,11,0.2727272727272727,0,3,4,3,1,7
tbl,TAMPA BAY LIGHTNING,4,3,1,13,0.3076923076923077,1,2,7,3,1,6
tor,TORONTO MAPLE LEAFS,6,4,2,17,0.35294117647058826,0,3,8,6,1,9
uta,UTAH MAMMOTH,4,4,0,12,0.3333333333333333,0,4,6,4,0,6
van,VANCOUVER CANUCKS,4,8,-4,14,0.2857142857142857,4,6,11,0,2,3
vgk,VEGAS GOLDEN KNIGHTS,4,2,2,9,0.4444444444444444,1,2,4,3,0,5
wpg,WINNIPEG JETS,5,5,0,15,0.3333333333333333,0,3,6,5,2,9
wsh,WASHINGTON CAPITALS,3,3,0,10,0.3,1,3,6,2,0,4
