team_abbr,Team,en_goals_for,en_goals_against,en_differential,en_situations,en_success_rate,en_goals_for_offensive,en_goals_against_offensive,en_situations_offensive,en_goals_for_defensive,en_goals_against_defensive,en_situations_defensive
ana,ANAHEIM DUCKS,7,6,1,17,0.4117647058823529,3,3,8,4,3,9
bos,BOSTON BRUINS,4,7,-3,18,0.2222222222222222,1,4,9,3,3,9
buf,BUFFALO SABRES,3,8,-5,14,0.21428571428571427,0,8,9,3,0,5
cgy,CALGARY FLAMES,3,6,-3,16,0.1875,1,6,12,2,0,4
car,CAROLINA HURRICANES,6,4,2,14,0.42857142857142855,2,4,7,4,0,7
chi,CHICAGO BLACKHAWKS,5,3,2,16,0.3125,0,1,6,5,2,10
col,COLORADO AVALANCHE,11,0,11,16,0.6875,1,0,1,10,0,15
cbj,COLUMBUS BLUE JACKETS,3,6,-3,15,0.2,1,3,7,2,3,8
dal,DALLAS STARS,5,3,2,17,0.29411764705882354,3,3,7,2,0,10
det,DETROIT RED WINGS,9,4,5,18,0.5,0,2,5,9,2,13
edm,EDMONTON OILERS,6,6,0,16,0.375,1,6,10,5,0,6
fla,FLORIDA PANTHERS,3,9,-6,17,0.17647058823529413,1,8,10,2,1,7
lak,LOS ANGELES KINGS,7,2,5,16,0.4375,4,2,9,3,0,7
min,MINNESOTA WILD,4,9,-5,14,0.2857142857142857,0,6,7,4,3,7
mtl,MONTREAL CANADIENS,4,9,-5,19,0.21052631578947367,2,4,9,2,5,10
nsh,NASHVILLE PREDATORS,6,11,-5,21,0.2857142857142857,3,8,13,3,3,8
njd,NEW JERSEY DEVILS,9,4,5,16,0.5625,3,2,6,6,2,10
nyi,NEW YORK ISLANDERS,7,7,0,18,0.3888888888888889,4,3,9,3,4,9
nyr,NEW YORK RANGERS,4,9,-5,17,0.23529411764705882,1,8,11,3,1,6
ott,OTTAWA SENATORS,5,5,0,17,0.29411764705882354,3,4,10,2,1,7
phi,PHILADELPHIA FLYERS,6,4,2,15,0.4,2,3,10,4,1,5
pit,PITTSBURGH PENGUINS,10,2,8,16,0.625,2,1,5,8,1,11
sjs,SAN JOSE SHARKS,3,6,-3,13,0.23076923076923078,1,4,8,2,2,5
sea,SEATTLE KRAKEN,6,3,3,14,0.42857142857142855,2,2,5,4,1,9
stl,ST. LOUIS BLUES,4,7,-3,15,0.26666666666666666,1,4,6,3,3,9
tbl,TAMPA BAY LIGHTNING,6,4,2,17,0.35294117647058826,1,3,8,5,1,9
tor,TORONTO MAPLE LEAFS,7,5,2,20,0.35,1,4,11,6,1,9
uta,UTAH MAMMOTH,6,5,1,15,0.4,0,4,6,6,1,9
van,VANCOUVER CANUCKS,5,9,-4,18,0.2777777777777778,4,7,14,1,2,4
vgk,VEGAS GOLDEN KNIGHTS,5,6,-1,15,0.3333333333333333,2,4,8,3,2,7
wsh,WASHINGTON CAPITALS,6,4,2,16,0.375,1,4,8,5,0,8
wpg,WINNIPEG JETS,5,7,-2,18,0.2777777777777778,0,4,8,5,3,10
