team,season,games_played,goals_for,goals_against,goals_per_game,goals_against_per_game,xgoals_for,xgoals_against,xgoals_per_game,xgoals_against_per_game,goals_above_expected,shots_per_game,shots_against_per_game,shot_attempts_per_game,shot_attempts_against_per_game,shooting_pct,save_pct,faceoff_win_pct,corsi_for_pct,fenwick_for_pct,xgoals_pct,pdo,high_danger_shots_for,high_danger_shots_against,high_danger_goals_for,high_danger_goals_against,hd_shooting_pct,hd_save_pct,medium_danger_shots_for,medium_danger_shots_against,low_danger_shots_for,low_danger_shots_against,rebound_goals_for,rebound_goals_against,rebounds_for,rebounds_against,penalties_for,penalties_against,penalty_minutes_for,penalty_minutes_against,power_play_pct,penalty_kill_pct,win_pct
t.b,20202021,56,180.0,145.0,3.2142857142857144,2.5892857142857144,166.29,149.27,2.9694642857142854,2.6655357142857143,13.710000000000008,30.142857142857142,28.214285714285715,52.69642857142857,48.69642857142857,10.66350710900474,0.9082278481012658,50.112,0.52,0.52,0.53,101.48629191913132,168.0,122.0,77.0,38.0,45.83333333333333,0.6885245901639344,445.0,472.0,1670.0,1502.0,29.0,18.0,110.0,97.0,220.0,214.0,515.0,517.0,20.0,80.0,0.6
cbj,20202021,56,134.0,184.0,2.392857142857143,3.2857142857142856,127.08,165.35,2.269285714285714,2.9526785714285713,6.920000000000002,29.017857142857142,32.410714285714285,49.732142857142854,57.80357142857143,8.246153846153845,0.8986225895316804,45.329849771391245,0.46,0.47,0.43,98.10841279932188,104.0,159.0,29.0,67.0,27.884615384615387,0.5786163522012578,353.0,429.0,1702.0,1860.0,26.0,35.0,107.0,124.0,141.0,135.0,309.0,291.0,20.0,80.0,0.0
ana,20202021,56,124.0,177.0,2.2142857142857144,3.1607142857142856,128.14,157.87,2.2882142857142855,2.819107142857143,-4.139999999999986,26.785714285714285,30.589285714285715,51.964285714285715,55.339285714285715,8.266666666666666,0.8966725043782837,51.02629890955741,0.48,0.48,0.45,97.93391710449504,110.0,154.0,32.0,58.0,29.09090909090909,0.6233766233766234,372.0,431.0,1675.0,1778.0,17.0,29.0,105.0,153.0,203.0,156.0,460.0,380.0,20.0,80.0,0.0
chi,20202021,56,159.0,184.0,2.8392857142857144,3.2857142857142856,137.89,161.43,2.4623214285714283,2.8826785714285714,21.110000000000014,29.107142857142858,33.55357142857143,50.625,57.660714285714285,9.754601226993866,0.902075572112826,46.32731958762887,0.47,0.46,0.46,99.96215843827646,118.0,154.0,44.0,68.0,37.28813559322034,0.5584415584415585,403.0,457.0,1559.0,1849.0,20.0,37.0,91.0,139.0,159.0,181.0,344.0,384.0,20.0,80.0,0.0
nyr,20202021,56,176.0,155.0,3.142857142857143,2.767857142857143,148.35,147.73,2.649107142857143,2.638035714285714,27.650000000000006,28.714285714285715,29.732142857142858,51.482142857142854,55.357142857142854,10.945273631840797,0.9069069069069069,44.49950445986125,0.48,0.49,0.5,101.63596432253148,149.0,145.0,65.0,54.0,43.624161073825505,0.6275862068965516,402.0,403.0,1669.0,1787.0,28.0,18.0,110.0,100.0,203.0,219.0,474.0,499.0,20.0,80.0,0.6
wsh,20202021,56,188.0,161.0,3.357142857142857,2.875,147.29,147.26,2.6301785714285715,2.629642857142857,40.71000000000001,29.410714285714285,28.785714285714285,53.660714285714285,52.82142857142857,11.414693381906496,0.9001240694789082,49.170918367346935,0.5,0.5,0.5,101.42710032979733,145.0,149.0,49.0,57.0,33.793103448275865,0.6174496644295302,402.0,377.0,1754.0,1749.0,26.0,22.0,112.0,115.0,194.0,177.0,442.0,415.0,20.0,80.0,0.6
vgk,20202021,56,190.0,122.0,3.392857142857143,2.1785714285714284,178.58,144.31,3.188928571428572,2.576964285714286,11.419999999999987,32.660714285714285,27.285714285714285,62.017857142857146,52.80357142857143,10.38819026790596,0.9201570680628273,49.548678272082526,0.54,0.55,0.55,102.40389707418868,193.0,155.0,52.0,42.0,26.94300518134715,0.7290322580645161,508.0,397.0,1856.0,1565.0,30.0,28.0,152.0,146.0,166.0,197.0,378.0,427.0,20.0,80.0,0.6
phi,20202021,56,160.0,197.0,2.857142857142857,3.517857142857143,150.33,157.55,2.6844642857142857,2.8133928571428575,9.669999999999987,30.178571428571427,29.214285714285715,55.92857142857143,51.375,9.467455621301776,0.8795843520782396,54.03977625854568,0.52,0.52,0.49,97.42589082912573,145.0,160.0,60.0,70.0,41.37931034482759,0.5625,437.0,428.0,1774.0,1620.0,25.0,27.0,139.0,118.0,189.0,180.0,411.0,396.0,20.0,80.0,0.0
pit,20202021,56,193.0,155.0,3.4464285714285716,2.767857142857143,157.7,146.22,2.8160714285714286,2.6110714285714285,35.30000000000001,30.089285714285715,29.964285714285715,51.92857142857143,51.517857142857146,11.4540059347181,0.9076281287246722,49.13820119084926,0.5,0.5,0.52,102.21681880718532,155.0,156.0,68.0,57.0,43.87096774193549,0.6346153846153846,403.0,406.0,1680.0,1659.0,26.0,25.0,113.0,123.0,171.0,168.0,365.0,362.0,20.0,80.0,0.6
buf,20202021,56,134.0,196.0,2.392857142857143,3.5,141.0,165.9,2.517857142857143,2.9625,-7.0,28.428571428571427,33.732142857142854,49.5,57.125,8.417085427135678,0.8962413975648491,49.574328749181404,0.46,0.46,0.46,98.04122518362058,128.0,160.0,41.0,59.0,32.03125,0.63125,403.0,450.0,1653.0,1949.0,20.0,39.0,122.0,137.0,150.0,160.0,320.0,336.0,20.0,80.0,0.0
col,20202021,56,197.0,132.0,3.517857142857143,2.357142857142857,179.85,120.2,3.211607142857143,2.1464285714285714,17.150000000000006,34.589285714285715,25.410714285714285,64.51785714285714,47.05357142857143,10.170366546205473,0.9072382290934645,51.54607297464441,0.58,0.58,0.6,100.89418945555192,175.0,116.0,63.0,33.0,36.0,0.7155172413793103,465.0,347.0,2017.0,1495.0,35.0,15.0,161.0,111.0,201.0,229.0,435.0,503.0,20.0,80.0,0.6
n.j,20202021,56,145.0,189.0,2.5892857142857144,3.375,144.56,164.7,2.5814285714285714,2.9410714285714286,0.4399999999999977,28.803571428571427,31.053571428571427,53.375,52.92857142857143,8.989460632362057,0.8913168487636572,46.57232704402516,0.5,0.49,0.47,98.12114550872778,119.0,152.0,40.0,62.0,33.61344537815126,0.5921052631578947,431.0,463.0,1713.0,1734.0,25.0,27.0,105.0,129.0,149.0,170.0,338.0,372.0,20.0,80.0,0.0
fla,20202021,56,188.0,151.0,3.357142857142857,2.6964285714285716,176.92,145.04,3.1592857142857143,2.59,11.080000000000013,34.75,29.964285714285715,58.017857142857146,50.642857142857146,9.660842754367934,0.9100119189511323,50.18028846153846,0.53,0.53,0.55,100.66203464948117,169.0,132.0,74.0,49.0,43.786982248520715,0.6287878787878788,461.0,407.0,1922.0,1681.0,37.0,26.0,145.0,139.0,211.0,233.0,478.0,518.0,20.0,80.0,0.6
van,20202021,56,148.0,187.0,2.642857142857143,3.3392857142857144,148.37,183.59,2.6494642857142856,3.2783928571428573,-0.37000000000000455,29.089285714285715,33.392857142857146,52.94642857142857,60.17857142857143,9.085328422344997,0.9,52.34029095509172,0.47,0.47,0.45,99.085328422345,139.0,171.0,46.0,64.0,33.093525179856115,0.6257309941520468,437.0,565.0,1662.0,1829.0,20.0,28.0,100.0,128.0,202.0,185.0,471.0,424.0,20.0,80.0,0.0
