team,season,name,team.1,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst,season_type
T.B,20202021,T.B,T.B,Team Level,other,56,0.55,0.47,0.47,9070.0,85.61,23.45,6.24,13.14,2.71,43.65,29.86,23.13,23.45,23.13,89.0,31.0,32.0,152.0,27.0,2.0,1.0,14.0,4.0,31.0,42.0,62.0,93.0,3.0,6.0,84.0,28.0,8.0,14.0,60.0,24.0,36.0,2.26,2.88,18.31,3.0,4.0,20.0,152.0,120.0,120.0,5.0,1.79,0.46,0.46,24.73,24.73,24.45,98.45,19.15,7.61,17.07,3.29,51.46,34.48,18.59,19.15,18.59,91.0,43.0,36.0,170.0,16.0,7.0,0.0,15.0,6.0,38.0,52.0,75.0,118.0,4.0,8.0,87.0,18.0,13.0,13.0,68.0,45.0,21.0,2.9,5.87,10.38,0.0,6.0,10.0,170.0,134.0,134.0,4.0,2.18,1.3,1.3,19.96,19.96,19.47,regular
T.B,20202021,T.B,T.B,Team Level,all,56,0.53,0.52,0.52,203358.0,1649.18,166.29,116.24,368.15,53.35,911.37,666.65,162.0,168.27,163.85,1688.0,595.0,668.0,2951.0,180.0,110.0,29.0,386.0,62.0,697.0,848.0,1508.0,2103.0,220.0,515.0,1566.0,1347.0,240.0,299.0,1670.0,445.0,168.0,48.42,54.86,63.02,49.0,54.0,77.0,2993.35,2283.0,2312.02,165.0,25.61,22.04,22.09,169.76,171.28,168.78,1527.27,149.27,107.51,334.73,48.88,842.5,612.18,144.85,149.18,144.78,1580.0,516.0,631.0,2727.0,145.0,97.0,18.0,303.0,86.0,621.0,845.0,1435.0,1951.0,214.0,517.0,1559.0,1227.0,262.0,326.0,1502.0,472.0,122.0,43.98,58.54,46.75,39.0,68.0,38.0,2707.86,2096.0,2084.58,163.0,23.81,23.15,23.15,149.86,149.86,147.12,regular
T.B,20202021,T.B,T.B,Team Level,5on5,56,0.52,0.52,0.52,160507.0,1289.67,105.73,87.28,303.48,42.07,715.33,532.12,102.79,107.7,104.65,1316.0,470.0,542.0,2328.0,112.0,90.0,23.0,319.0,46.0,554.0,665.0,1204.0,1674.0,190.0,452.0,1180.0,1262.0,194.0,231.0,1347.0,359.0,80.0,39.06,43.9,22.77,40.0,43.0,29.0,2370.35,1786.0,1815.02,133.0,18.01,17.68,17.95,105.79,107.31,105.92,1182.16,97.25,79.31,271.06,37.97,651.5,487.89,94.65,97.17,94.57,1227.0,398.0,490.0,2115.0,98.0,72.0,11.0,246.0,67.0,474.0,669.0,1129.0,1527.0,186.0,460.0,1194.0,1146.0,212.0,263.0,1198.0,363.0,64.0,34.46,44.87,17.92,33.0,52.0,13.0,2095.86,1625.0,1613.58,145.0,16.39,14.29,14.45,99.19,99.19,97.83,regular
T.B,20202021,T.B,T.B,Team Level,4on5,56,0.19,0.16,0.18,17524.0,49.23,6.69,2.99,6.78,1.58,14.85,32.11,6.54,6.69,6.54,54.0,11.0,8.0,73.0,2.0,3.0,0.0,11.0,2.0,10.0,37.0,52.0,63.0,14.0,31.0,139.0,44.0,29.0,21.0,34.0,21.0,10.0,0.99,2.82,2.88,1.0,1.0,0.0,73.0,65.0,65.0,18.0,0.68,0.57,0.57,6.8,6.8,6.71,212.2,28.83,18.58,41.62,6.47,129.51,67.0,27.65,28.83,27.65,219.0,73.0,96.0,388.0,28.0,17.0,7.0,40.0,13.0,104.0,90.0,191.0,264.0,18.0,37.0,161.0,26.0,11.0,39.0,209.0,51.0,32.0,5.86,5.98,16.98,6.0,7.0,15.0,388.0,292.0,292.0,3.0,4.77,7.38,7.22,26.37,26.37,25.55,regular
T.B,20202021,T.B,T.B,Team Level,5on4,56,0.88,0.88,0.87,16257.0,224.67,30.42,19.73,44.74,7.0,137.54,72.57,29.53,30.42,29.53,229.0,83.0,86.0,398.0,39.0,15.0,5.0,42.0,10.0,102.0,104.0,190.0,273.0,13.0,26.0,163.0,13.0,9.0,33.0,229.0,41.0,42.0,6.11,5.26,19.05,5.0,6.0,28.0,398.0,312.0,312.0,9.0,5.13,3.32,3.1,32.45,32.45,31.69,34.45,4.04,2.01,4.98,1.14,10.02,22.81,3.96,4.04,3.96,43.0,2.0,9.0,54.0,3.0,1.0,0.0,2.0,0.0,5.0,34.0,40.0,42.0,6.0,12.0,117.0,37.0,26.0,11.0,27.0,13.0,5.0,0.75,1.82,1.47,0.0,3.0,0.0,54.0,45.0,45.0,11.0,0.48,0.18,0.18,4.34,4.34,4.26,regular
CBJ,20202021,CBJ,CBJ,Team Level,other,56,0.37,0.47,0.45,5598.0,72.87,12.59,5.4,12.92,2.52,39.95,27.62,12.2,12.59,12.2,76.0,25.0,39.0,140.0,13.0,4.0,1.0,18.0,3.0,28.0,35.0,63.0,88.0,1.0,2.0,57.0,9.0,8.0,16.0,61.0,25.0,15.0,2.76,3.35,6.47,3.0,3.0,7.0,140.0,101.0,101.0,6.0,1.48,0.93,1.23,12.84,12.84,12.64,91.14,21.2,6.34,15.08,2.83,43.98,33.57,20.85,21.2,20.85,97.0,26.0,38.0,161.0,25.0,8.0,3.0,18.0,1.0,24.0,47.0,72.0,98.0,3.0,6.0,82.0,19.0,11.0,25.0,63.0,35.0,25.0,2.61,4.33,14.27,4.0,4.0,17.0,161.0,123.0,123.0,11.0,1.82,2.19,2.19,20.83,20.83,20.69,regular
CBJ,20202021,CBJ,CBJ,Team Level,all,56,0.43,0.46,0.47,205189.0,1555.33,127.08,104.68,358.14,50.74,866.08,652.28,122.48,126.52,121.96,1625.0,534.0,626.0,2785.0,134.0,107.0,26.0,387.0,54.0,645.0,832.0,1491.0,2025.0,141.0,309.0,1388.0,1226.0,316.0,481.0,1702.0,353.0,104.0,49.95,42.48,34.64,59.0,46.0,29.0,2764.2,2159.0,2147.48,236.0,22.43,21.83,21.89,127.62,127.11,125.24,1752.72,165.35,119.19,400.78,57.46,986.55,718.68,160.6,167.04,162.25,1815.0,633.0,789.0,3237.0,184.0,124.0,35.0,385.0,57.0,752.0,946.0,1631.0,2264.0,135.0,291.0,1674.0,1073.0,299.0,429.0,1860.0,429.0,159.0,54.07,51.51,59.76,67.0,50.0,67.0,3271.48,2448.0,2470.97,215.0,25.83,28.32,28.36,162.82,164.34,161.69,regular
CBJ,20202021,CBJ,CBJ,Team Level,5on5,56,0.46,0.47,0.47,175353.0,1303.56,98.54,85.05,310.77,42.53,724.77,545.32,94.71,97.98,94.19,1353.0,454.0,539.0,2346.0,98.0,92.0,22.0,338.0,43.0,535.0,701.0,1255.0,1709.0,132.0,291.0,1131.0,1170.0,279.0,412.0,1439.0,294.0,74.0,41.56,35.33,21.65,44.0,38.0,16.0,2325.2,1807.0,1795.48,215.0,17.45,18.7,18.76,97.23,96.73,95.46,1450.54,115.46,95.85,347.14,48.08,819.65,605.82,112.09,117.15,113.73,1504.0,528.0,663.0,2695.0,131.0,104.0,27.0,328.0,51.0,634.0,784.0,1373.0,1901.0,119.0,261.0,1369.0,1011.0,261.0,365.0,1591.0,342.0,99.0,45.99,40.74,28.73,58.0,42.0,31.0,2729.48,2032.0,2054.97,190.0,19.7,22.13,22.16,112.99,114.51,112.88,regular
CBJ,20202021,CBJ,CBJ,Team Level,4on5,56,0.12,0.17,0.19,12860.0,43.51,3.47,2.28,5.97,1.36,14.44,32.5,3.45,3.47,3.45,56.0,4.0,6.0,66.0,5.0,3.0,1.0,6.0,0.0,8.0,38.0,51.0,55.0,5.0,10.0,107.0,35.0,24.0,16.0,47.0,10.0,3.0,1.37,1.14,0.95,3.0,2.0,0.0,66.0,60.0,60.0,12.0,0.5,0.46,0.15,3.82,3.82,3.81,178.88,25.41,15.21,34.1,5.53,111.91,56.85,24.44,25.41,24.44,175.0,74.0,80.0,329.0,26.0,11.0,5.0,37.0,5.0,87.0,83.0,149.0,223.0,11.0,20.0,129.0,15.0,6.0,27.0,176.0,43.0,30.0,4.83,5.25,15.32,4.0,4.0,18.0,329.0,249.0,249.0,2.0,3.92,3.69,3.69,25.63,25.63,24.78,regular
CBJ,20202021,CBJ,CBJ,Team Level,5on4,56,0.79,0.82,0.81,11378.0,135.39,12.48,11.95,28.48,4.34,86.91,46.85,12.13,12.48,12.13,140.0,51.0,42.0,233.0,18.0,8.0,2.0,25.0,8.0,74.0,58.0,122.0,173.0,3.0,6.0,93.0,12.0,5.0,37.0,155.0,24.0,12.0,4.26,2.66,5.56,9.0,3.0,6.0,233.0,191.0,191.0,3.0,2.98,1.74,1.74,13.72,13.72,13.33,32.17,3.28,1.8,4.46,1.01,11.01,22.43,3.21,3.28,3.21,39.0,5.0,8.0,52.0,2.0,1.0,0.0,2.0,0.0,7.0,32.0,37.0,42.0,2.0,4.0,94.0,28.0,21.0,12.0,30.0,9.0,5.0,0.65,1.19,1.45,1.0,0.0,1.0,52.0,44.0,44.0,12.0,0.4,0.31,0.31,3.37,3.37,3.35,regular
