prediction_id,game_date,away_team,home_team,away_score,home_score,actual_total,market_total,predicted_total,recommendation,confidence,result,edge_accuracy,profit_loss
2025-11-11_Washington Wizards_Detroit Pistons_totals_ensemble,2025-11-11,Washington Wizards,Detroit Pistons,137,135,272.0,236.48,238.97,OVER,LOW,WIN,2.49,0.91
2025-11-11_Washington Wizards_Detroit Pistons_totals_random_forest,2025-11-11,Washington Wizards,Detroit Pistons,137,135,272.0,236.48,235.78,UNDER,NONE,LOSS,-0.71,-1.0
2025-11-11_Washington Wizards_Detroit Pistons_totals_xgboost,2025-11-11,Washington Wizards,Detroit Pistons,137,135,272.0,236.48,236.08,UNDER,NONE,LOSS,-0.4,-1.0
2025-11-11_Washington Wizards_Detroit Pistons_totals_lightgbm,2025-11-11,Washington Wizards,Detroit Pistons,137,135,272.0,236.48,241.86,OVER,HIGH,WIN,5.38,0.91
2025-11-11_Washington Wizards_Detroit Pistons_totals_linear_regression,2025-11-11,Washington Wizards,Detroit Pistons,137,135,272.0,236.48,245.19,OVER,HIGH,WIN,8.71,0.91
2025-11-11_Washington Wizards_Detroit Pistons_spreads_ensemble,2025-11-11,Washington Wizards,Detroit Pistons,137,135,,-9.94,-12.57,HOME,MEDIUM,LOSS,-2.63,-1.0
2025-11-11_Washington Wizards_Detroit Pistons_spreads_random_forest,2025-11-11,Washington Wizards,Detroit Pistons,137,135,,-9.94,-11.55,HOME,LOW,LOSS,-1.62,-1.0
2025-11-11_Washington Wizards_Detroit Pistons_spreads_xgboost,2025-11-11,Washington Wizards,Detroit Pistons,137,135,,-9.94,-13.59,HOME,HIGH,LOSS,-3.65,-1.0
2025-11-11_Washington Wizards_Detroit Pistons_spreads_lightgbm,2025-11-11,Washington Wizards,Detroit Pistons,137,135,,-9.94,-9.96,HOME,NONE,LOSS,-0.02,-1.0
2025-11-11_Washington Wizards_Detroit Pistons_spreads_linear_regression,2025-11-11,Washington Wizards,Detroit Pistons,137,135,,-9.94,-14.43,HOME,HIGH,LOSS,-4.49,-1.0
2025-11-11_Washington Wizards_Detroit Pistons_moneyline_ensemble,2025-11-11,Washington Wizards,Detroit Pistons,137,135,,0.8631,0.811,AWAY,MEDIUM,WIN,-0.0521,0.91
2025-11-11_Washington Wizards_Detroit Pistons_moneyline_random_forest,2025-11-11,Washington Wizards,Detroit Pistons,137,135,,0.8631,0.7866,AWAY,MEDIUM,WIN,-0.0765,0.91
2025-11-11_Washington Wizards_Detroit Pistons_moneyline_xgboost,2025-11-11,Washington Wizards,Detroit Pistons,137,135,,0.8631,0.8159,AWAY,LOW,WIN,-0.0472,0.91
