Rank,Team,Conference,Record,AdjEM,AdjOffEff,AdjDefEff,AdjTempo
1,Purdue,B10,1-0,29.65,125.1,95.4,69.1
2,Houston,B12,1-0,29.57,118.6,89.0,67.9
3,Kentucky,SEC,1-0,28.82,119.5,90.7,73.4
4,Florida,SEC,1-1,28.03,120.9,92.9,75.3
5,Illinois,B10,1-0,27.77,121.4,93.6,74.6
6,Duke,ACC,1-0,27.65,120.7,93.1,69.9
7,Connecticut,BE,1-0,27.36,120.8,93.4,69.1
8,Gonzaga,WCC,1-0,26.82,120.8,93.9,74.1
9,Michigan,B10,1-0,25.71,118.5,92.8,74.4
10,Arizona,B12,1-0,25.4,119.8,94.4,75.6
11,Louisville,ACC,2-0,25.25,121.4,96.1,74.9
12,Iowa St.,B12,2-0,25.03,114.7,89.7,72.2
13,Texas Tech,B12,1-0,24.48,118.9,94.4,70.7
14,St. John's,BE,1-0,24.05,117.3,93.3,74.9
15,Tennessee,SEC,1-0,23.73,114.6,90.9,69.6
16,Vanderbilt,SEC,1-0,23.27,117.9,94.7,74.0
17,BYU,B12,1-0,23.05,120.2,97.1,71.5
18,Wisconsin,B10,1-0,22.79,118.4,95.6,71.6
19,Kansas,B12,1-0,22.49,115.2,92.7,71.7
20,UCLA,B10,1-0,22.07,116.2,94.1,69.8
21,Baylor,B12,1-0,22.02,118.0,96.0,71.1
22,Mississippi,SEC,1-0,21.85,115.8,93.9,71.1
23,USC,B10,1-0,21.61,115.8,94.2,74.2
24,Alabama,SEC,1-0,21.09,117.2,96.1,76.8
25,San Diego St.,MWC,1-0,21.0,112.2,91.2,71.3
26,Arkansas,SEC,1-0,20.94,116.5,95.6,74.5
27,Clemson,ACC,1-0,20.78,115.6,94.8,70.0
28,Mississippi St.,SEC,1-0,20.72,116.3,95.6,71.9
29,Missouri,SEC,1-0,20.33,118.2,97.9,72.1
30,North Carolina,ACC,1-0,19.82,116.3,96.5,74.5
31,Texas A&M,SEC,2-0,19.79,115.8,96.0,75.2
32,N.C. State,ACC,1-0,19.67,116.3,96.6,71.5
33,Cincinnati,B12,1-0,19.56,111.1,91.6,72.5
34,Indiana,B10,1-0,19.45,115.8,96.3,70.9
35,Michigan St.,B10,1-0,19.38,114.3,94.9,71.2
36,Georgia,SEC,2-0,19.34,114.9,95.6,72.9
37,Ohio St.,B10,1-0,18.44,119.1,100.7,73.9
38,Maryland,B10,1-0,18.25,112.2,93.9,71.0
39,Auburn,SEC,2-0,18.24,116.3,98.0,71.6
40,Iowa,B10,1-0,17.87,116.6,98.7,67.0
41,Utah St.,MWC,1-0,17.5,116.9,99.4,72.3
42,Texas,SEC,0-1,16.89,112.7,95.8,72.3
43,Creighton,BE,1-0,16.73,116.7,100.0,71.6
44,Oregon,B10,1-0,16.67,111.1,94.4,73.1
45,Marquette,BE,2-0,16.43,111.7,95.3,73.8
46,Saint Mary's,WCC,1-0,16.41,112.6,96.2,67.1
47,Dayton,A10,1-0,16.21,112.4,96.2,69.3
48,Nebraska,B10,1-0,16.09,114.4,98.3,72.4
49,LSU,SEC,1-0,15.89,113.9,98.0,71.9
50,Washington,B10,2-0,15.83,114.7,98.9,71.6
