game_id,pulling_team,score_diff,seconds_remaining,time_remaining
20001,TBL,-1,2,00:02
20002,CHI,-1,87,01:27
20003,VGK,-2,75,01:15
20006,BOS,-1,56,00:56
20007,CGY,-1,9,00:09
20008,COL,-2,232,03:52
20010,NYR,-3,118,01:58
20011,PHI,-1,89,01:29
20012,NJD,-1,95,01:35
20015,NSH,-2,105,01:45
20020,WPG,-1,70,01:10
20023,DET,-1,1,00:01
20025,PIT,-2,93,01:33
20031,VGK,-2,148,02:28
20033,OTT,-2,163,02:43
20034,ANA,-1,117,01:57
20036,FLA,-1,76,01:16
20038,CHI,-2,6,00:06
20042,PHI,-2,144,02:24
20046,COL,-2,194,03:14
20050,DET,-1,92,01:32
20051,CGY,-1,29,00:29
20052,FLA,-1,1,00:01
20056,LAK,-2,139,02:19
20058,VGK,-1,63,01:03
20060,SEA,-2,189,03:09
20063,CBJ,-1,141,02:21
20066,ARI,-1,3,00:03
20068,VAN,-1,130,02:10
20075,STL,-2,155,02:35
20076,COL,-2,87,01:27
20081,BOS,-1,154,02:34
20085,BUF,-1,23,00:23
20087,NJD,-2,54,00:54
20089,FLA,-1,2,00:02
20090,COL,-1,60,01:00
20093,WPG,-1,70,01:10
20094,MIN,-2,203,03:23
20095,VAN,-1,38,00:38
20097,LAK,-2,114,01:54
20099,WSH,-1,95,01:35
20102,WPG,-2,62,01:02
20108,TOR,-2,182,03:02
20109,STL,-2,127,02:07
20115,LAK,-1,17,00:17
20119,BOS,-2,139,02:19
20125,VGK,-1,112,01:52
20126,BUF,-3,194,03:14
20127,NJD,-1,17,00:17
20128,WSH,-1,58,00:58
20129,EDM,-2,47,00:47
20136,DAL,-2,219,03:39
20140,VAN,-2,178,02:58
20141,BUF,-2,188,03:08
20143,COL,-3,158,02:38
20146,CBJ,-1,131,02:11
20147,FLA,-1,79,01:19
20148,NYR,-1,8,00:08
20150,NYI,-3,129,02:09
20155,VGK,-2,172,02:52
20158,STL,-1,97,01:37
20162,TBL,-2,58,00:58
20164,STL,-3,240,04:00
20165,BUF,-1,66,01:06
20166,WSH,-1,107,01:47
20168,CHI,-2,10,00:10
20170,CGY,-1,48,00:48
20174,NJD,-1,1,00:01
20175,ANA,-1,92,01:32
20178,BOS,-2,73,01:13
20183,NYR,-2,160,02:40
20184,WPG,-2,148,02:28
20186,CGY,-1,99,01:39
20187,PIT,-1,20,00:20
20188,COL,-2,172,02:52
20189,SJS,-1,82,01:22
20192,LAK,-2,12,00:12
20193,BOS,-2,81,01:21
20194,DAL,-2,176,02:56
20196,NYR,-2,81,01:21
20199,STL,-1,100,01:40
20200,WPG,-2,196,03:16
20205,FLA,-2,226,03:46
20206,WSH,-1,111,01:51
20208,PHI,-2,61,01:01
20211,DAL,-1,29,00:29
20214,CAR,-3,318,05:18
20216,WSH,-2,190,03:10
20217,PIT,-3,229,03:49
20218,ARI,-1,87,01:27
20224,VAN,-2,90,01:30
20227,EDM,-2,147,02:27
20230,PIT,-1,37,00:37
20232,WSH,-1,49,00:49
20234,ANA,-1,14,00:14
20235,STL,-3,238,03:58
20236,WPG,-2,90,01:30
20237,FLA,-1,133,02:13
20246,TBL,-1,49,00:49
20247,CGY,-2,112,01:52
20253,FLA,-1,16,00:16
20256,NSH,-1,12,00:12
20257,TBL,-1,55,00:55
20259,CAR,-1,38,00:38
20261,NYR,-1,93,01:33
20262,WPG,-2,150,02:30
20263,WSH,-1,51,00:51
20264,COL,-2,30,00:30
20268,PHI,-2,146,02:26
20269,PIT,-2,78,01:18
20271,STL,-2,134,02:14
20272,FLA,-1,60,01:00
20274,DAL,-2,210,03:30
20279,CAR,-2,64,01:04
20286,NYI,-1,32,00:32
20291,COL,-2,202,03:22
20293,DET,-2,105,01:45
20294,NYR,-2,76,01:16
20301,BUF,-1,29,00:29
20304,WPG,-2,277,04:37
20305,CGY,-2,99,01:39
20313,COL,-2,63,01:03
20314,SJS,-1,111,01:51
20315,ARI,-1,77,01:17
20316,DET,-2,23,00:23
20321,CBJ,-3,379,06:19
20322,BUF,-2,91,01:31
20324,COL,-2,255,04:15
20326,SJS,-1,72,01:12
20328,CAR,-2,164,02:44
20330,MIN,-2,65,01:05
20332,DAL,-2,15,00:15
20333,CHI,-1,88,01:28
20334,ARI,-2,85,01:25
20336,VAN,-1,48,00:48
20337,MTL,-1,57,00:57
20341,NYI,-1,23,00:23
20345,PIT,-1,68,01:08
20348,STL,-2,19,00:19
20349,EDM,-1,49,00:49
20355,SJS,-2,186,03:06
20357,WPG,-2,38,00:38
20358,NYR,-1,16,00:16
20365,ARI,-2,75,01:15
20367,VAN,-1,121,02:01
20368,VGK,-2,117,01:57
20373,LAK,-2,147,02:27
20376,MTL,-1,32,00:32
20377,WPG,-1,96,01:36
20380,DET,-1,46,00:46
20382,OTT,-3,191,03:11
20386,COL,-1,35,00:35
20390,VGK,-2,55,00:55
20393,DET,-1,125,02:05
20398,NSH,-3,442,07:22
20401,CGY,-1,89,01:29
20402,WPG,-1,37,00:37
20405,CBJ,-2,90,01:30
20406,FLA,-1,27,00:27
20409,NJD,-1,103,01:43
20412,OTT,-3,205,03:25
20413,TOR,-3,91,01:31
20420,FLA,-2,258,04:18
20421,EDM,-2,188,03:08
20425,WPG,-1,29,00:29
20426,MIN,-2,4,00:04
20428,BUF,-2,70,01:10
20430,DAL,-2,120,02:00
20432,TOR,-3,87,01:27
20434,PIT,-1,124,02:04
20436,DET,-1,99,01:39
20438,SEA,-3,321,05:21
20439,VAN,-2,95,01:35
20441,SJS,-1,79,01:19
20446,WPG,-2,183,03:03
20452,TBL,-1,93,01:33
20459,ARI,-1,131,02:11
20460,BUF,-2,161,02:41
20463,NJD,-3,168,02:48
20464,MTL,-1,45,00:45
20467,WPG,-3,123,02:03
20470,ARI,-2,138,02:18
20471,CGY,-2,216,03:36
20476,ANA,-3,381,06:21
20477,COL,-3,289,04:49
20479,ANA,-1,79,01:19
20483,CGY,-1,93,01:33
20489,NYR,-2,193,03:13
20493,ARI,-1,90,01:30
20494,LAK,-3,108,01:48
20497,SEA,-1,154,02:34
20500,STL,-2,189,03:09
20502,NSH,-1,1,00:01
20507,COL,-1,23,00:23
20508,CGY,-2,120,02:00
20511,EDM,-3,306,05:06
20513,MTL,-2,116,01:56
20524,STL,-1,61,01:01
20526,LAK,-1,60,01:00
20527,VAN,-2,13,00:13
20531,OTT,-1,147,02:27
20532,BOS,-3,38,00:38
20535,CAR,-3,138,02:18
20536,STL,-1,4,00:04
20540,ANA,-3,129,02:09
20542,CAR,-1,19,00:19
20553,ARI,-2,183,03:03
20558,FLA,-2,167,02:47
20559,PIT,-1,91,01:31
20560,NYR,-3,339,05:39
20561,CAR,-1,55,00:55
20565,BOS,-1,121,02:01
20566,OTT,-3,331,05:31
20567,PIT,-1,50,00:50
20570,CGY,-1,138,02:18
20571,COL,-1,123,02:03
20573,SEA,-3,73,01:13
20576,WSH,-1,8,00:08
20577,MTL,-2,164,02:44
20578,CGY,-1,57,00:57
20579,NSH,-2,33,00:33
20580,WPG,-2,127,02:07
20581,FLA,-2,141,02:21
20585,TOR,-2,60,01:00
20586,DET,-1,6,00:06
20590,BUF,-3,329,05:29
20594,TBL,-2,41,00:41
20598,SEA,-2,133,02:13
20601,WPG,-1,48,00:48
20602,NJD,-1,27,00:27
20603,CAR,-2,128,02:08
20606,FLA,-3,186,03:06
20607,BOS,-2,206,03:26
20611,VAN,-1,71,01:11
20617,CHI,-1,70,01:10
20619,WPG,-2,112,01:52
20620,DET,-1,35,00:35
20621,VAN,-2,108,01:48
20628,VAN,-2,88,01:28
20630,FLA,-3,57,00:57
20632,EDM,-1,39,00:39
20634,CGY,-2,168,02:48
20638,BUF,-1,83,01:23
20643,VAN,-1,34,00:34
20647,STL,-2,96,01:36
20651,NSH,-1,153,02:33
20654,VAN,-1,66,01:06
20656,NJD,-2,23,00:23
20658,SEA,-2,69,01:09
20659,DET,-2,67,01:07
20662,COL,-1,34,00:34
20664,DAL,-1,112,01:52
20666,NSH,-1,1,00:01
20668,CGY,-2,73,01:13
20669,NYR,-1,51,00:51
20670,DET,-1,19,00:19
20671,BOS,-2,158,02:38
20672,BUF,-2,206,03:26
20675,LAK,-2,81,01:21
20677,PIT,-2,141,02:21
20678,MTL,-1,8,00:08
20679,PHI,-1,54,00:54
20680,VGK,-2,19,00:19
20681,NYR,-2,179,02:59
20682,COL,-2,284,04:44
20683,WSH,-1,58,00:58
20685,WPG,-1,82,01:22
20688,EDM,-1,93,01:33
20692,BOS,-2,98,01:38
20693,OTT,-4,454,07:34
20696,WSH,-2,20,00:20
20697,TOR,-1,112,01:52
20700,VAN,-1,35,00:35
20701,VGK,-3,88,01:28
20702,CAR,-1,92,01:32
20704,MIN,-1,12,00:12
20706,TBL,-1,88,01:28
20707,COL,-2,21,00:21
20708,ARI,-2,171,02:51
20714,EDM,-1,48,00:48
20715,SJS,-1,10,00:10
20716,VGK,-1,88,01:28
20718,OTT,-1,83,01:23
20719,MIN,-1,121,02:01
20722,NYR,-2,36,00:36
20723,TOR,-1,21,00:21
20724,BOS,-2,94,01:34
20726,FLA,-1,99,01:39
20727,ARI,-1,950,15:50
20731,OTT,-2,147,02:27
20732,TBL,-1,60,01:00
20737,ANA,-1,69,01:09
20746,CAR,-2,112,01:52
20752,NSH,-1,8,00:08
20753,CBJ,-2,102,01:42
20754,EDM,-2,87,01:27
20755,VGK,-3,194,03:14
20756,FLA,-1,66,01:06
20761,EDM,-2,199,03:19
20762,BUF,-2,256,04:16
20764,DET,-2,90,01:30
20765,NYR,-3,163,02:43
20767,TBL,-1,146,02:26
20768,TOR,-2,98,01:38
20770,ANA,-1,24,00:24
20771,CGY,-1,79,01:19
20774,SEA,-1,13,00:13
20777,SJS,-1,104,01:44
20779,LAK,-1,69,01:09
20785,VAN,-1,60,01:00
20787,NJD,-1,2,00:02
20790,VGK,-1,33,00:33
20791,NYR,-1,61,01:01
20792,TOR,-2,122,02:02
20793,MIN,-1,147,02:27
20795,FLA,-1,54,00:54
20796,CGY,-1,109,01:49
20799,CAR,-2,211,03:31
20803,EDM,-1,70,01:10
20807,CGY,-2,241,04:01
20808,WSH,-2,27,00:27
20811,TBL,-1,48,00:48
20812,OTT,-1,83,01:23
20816,LAK,-3,285,04:45
20820,NYR,-1,19,00:19
20821,PHI,-1,81,01:21
20822,MIN,-1,22,00:22
20826,OTT,-2,8,00:08
20827,TOR,-2,99,01:39
20828,COL,-1,111,01:51
20830,DAL,-1,145,02:25
20831,NJD,-1,39,00:39
20832,VAN,-2,130,02:10
20837,SEA,-2,19,00:19
20838,FLA,-2,93,01:33
20842,TBL,-1,120,02:00
20844,STL,-2,173,02:53
20845,PIT,-2,50,00:50
20855,NSH,-2,92,01:32
20857,WSH,-1,59,00:59
20859,NJD,-2,105,01:45
20863,NYI,-1,144,02:24
20865,LAK,-1,33,00:33
20868,TOR,-2,94,01:34
20869,MIN,-1,67,01:07
20871,EDM,-2,69,01:09
20872,CGY,-2,117,01:57
20874,CAR,-2,109,01:49
20875,OTT,-2,30,00:30
20877,NYR,-1,101,01:41
20880,WPG,-2,178,02:58
20881,COL,-1,28,00:28
20882,NSH,-1,109,01:49
20885,PHI,-2,76,01:16
20886,CBJ,-2,99,01:39
20893,PIT,-2,85,01:25
20894,WSH,-1,95,01:35
20895,STL,-3,653,10:53
20897,SEA,-2,129,02:09
20899,NSH,-1,180,03:00
20902,MIN,-1,87,01:27
20904,TBL,-1,31,00:31
20912,CGY,-3,457,07:37
20914,NSH,-1,66,01:06
20916,TBL,-2,122,02:02
20917,PIT,-1,1,00:01
20922,NSH,-1,122,02:02
20929,MTL,-1,3,00:03
20930,PHI,-3,513,08:33
20931,VGK,-2,97,01:37
20935,CGY,-1,74,01:14
20939,NYR,-1,53,00:53
20942,CAR,-1,180,03:00
20943,NYI,-1,77,01:17
20946,TOR,-1,60,01:00
20947,DAL,-2,150,02:30
20952,ANA,-1,24,00:24
20953,ARI,-1,75,01:15
20956,WPG,-1,11,00:11
20959,NSH,-3,75,01:15
20962,PHI,-1,1,00:01
20964,TOR,-1,76,01:16
20965,CBJ,-2,145,02:25
20967,STL,-1,49,00:49
20968,CGY,-1,22,00:22
20969,ARI,-2,31,00:31
20970,LAK,-3,133,02:13
20971,WPG,-1,81,01:21
20975,CBJ,-2,71,01:11
20976,FLA,-1,59,00:59
20982,FLA,-1,16,00:16
20983,PIT,-2,29,00:29
20984,NYI,-1,31,00:31
20987,CHI,-2,98,01:38
20992,ANA,-1,20,00:20
20994,CAR,-2,63,01:03
20995,CBJ,-1,20,00:20
20997,NJD,-2,59,00:59
20999,CGY,-3,463,07:43
21000,NSH,-2,92,01:32
21001,MIN,-1,72,01:12
21002,VAN,-2,18,00:18
21008,WPG,-2,50,00:50
21011,CAR,-1,71,01:11
21020,VGK,-1,67,01:07
21021,DAL,-2,243,04:03
21025,CHI,-2,156,02:36
21027,STL,-3,513,08:33
21028,NYR,-1,73,01:13
21030,LAK,-2,142,02:22
21032,NYR,-1,102,01:42
21036,FLA,-1,67,01:07
21037,MIN,-1,152,02:32
21041,STL,-2,143,02:23
21045,BUF,-3,376,06:16
21046,CAR,-3,258,04:18
21048,ARI,-2,184,03:04
21051,PIT,-2,116,01:56
21052,TBL,-2,218,03:38
21055,CGY,-2,178,02:58
21059,DET,-2,67,01:07
21061,NYR,-2,91,01:31
21062,ARI,-2,161,02:41
21063,TBL,-1,92,01:32
21065,CBJ,-1,65,01:05
21067,TOR,-2,136,02:16
21071,NSH,-2,80,01:20
21074,VGK,-1,19,00:19
21076,CHI,-2,1,00:01
21078,PIT,-3,255,04:15
21079,STL,-3,110,01:50
21080,WSH,-2,149,02:29
21083,CBJ,-1,21,00:21
21085,WPG,-1,9,00:09
21087,CAR,-2,218,03:38
21089,COL,-1,6,00:06
21093,VAN,-1,111,01:51
21094,TBL,-1,69,01:09
21098,NYR,-1,123,02:03
21100,DET,-2,225,03:45
21102,NJD,-2,49,00:49
21103,STL,-2,108,01:48
21107,VGK,-1,12,00:12
21110,DAL,-2,161,02:41
21118,TOR,-2,13,00:13
21120,VAN,-2,70,01:10
21126,NJD,-3,305,05:05
21128,OTT,-1,57,00:57
21129,FLA,-2,72,01:12
21130,DAL,-1,90,01:30
21132,BUF,-1,45,00:45
21135,LAK,-2,240,04:00
21138,PIT,-1,119,01:59
21139,NJD,-2,69,01:09
21148,OTT,-3,197,03:17
21149,TBL,-1,27,00:27
21151,NYI,-1,62,01:02
21152,MTL,-2,175,02:55
21153,OTT,-2,76,01:16
21154,PIT,-1,94,01:34
21156,MIN,-1,54,00:54
21157,STL,-1,135,02:15
21158,VGK,-1,105,01:45
21160,EDM,-2,41,00:41
21161,ARI,-3,363,06:03
21162,SEA,-2,75,01:15
21163,DAL,-1,123,02:03
21164,BUF,-1,38,00:38
21166,VGK,0,-210,-4:30
21168,NYR,-1,145,02:25
21169,COL,-2,230,03:50
21172,CAR,-2,168,02:48
21174,TBL,-2,166,02:46
21177,SJS,-3,193,03:13
21179,DAL,-2,77,01:17
21181,CBJ,-2,93,01:33
21182,PIT,-1,131,02:11
21183,NYI,-1,95,01:35
21184,DET,-1,63,01:03
21185,TOR,-1,46,00:46
21187,WPG,-1,33,00:33
