game_id,pulling_team,score_differential,period,goals_by_pulling_team,goals_by_opponent,total_goals_after_pull,outcome,pulling_team_tied_game
20001,TBL,-1,3,1,0,1,pulling_team_scored,True
20002,CHI,-1,3,1,0,1,pulling_team_scored,True
20003,VGK,-2,3,1,0,1,pulling_team_scored,True
20006,BOS,-1,3,1,0,1,pulling_team_scored,True
20007,CGY,-1,3,1,0,1,pulling_team_scored,True
20008,COL,-2,3,1,0,1,pulling_team_scored,True
20010,NYR,-3,3,1,0,1,pulling_team_scored,True
20011,PHI,-1,3,2,1,3,both_scored,True
20012,NJD,-1,3,1,1,2,both_scored,True
20015,NSH,-2,3,1,0,1,pulling_team_scored,True
20020,WPG,-1,3,1,0,1,pulling_team_scored,True
20023,DET,-1,3,1,0,1,pulling_team_scored,True
20025,PIT,-2,3,1,0,1,pulling_team_scored,True
20031,VGK,-2,3,1,0,1,pulling_team_scored,True
20033,OTT,-2,3,1,0,1,pulling_team_scored,True
20034,ANA,-1,3,2,0,2,pulling_team_scored,True
20036,FLA,-1,3,0,0,0,no_goal,True
20038,CHI,-2,3,1,0,1,pulling_team_scored,True
20042,PHI,-2,3,0,0,0,no_goal,True
20046,COL,-2,3,1,0,1,pulling_team_scored,True
20050,DET,-1,3,2,0,2,pulling_team_scored,True
20051,CGY,-1,3,0,0,0,no_goal,True
20052,FLA,-1,3,1,0,1,pulling_team_scored,True
20056,LAK,-2,3,2,0,2,pulling_team_scored,True
20058,VGK,-1,3,1,0,1,pulling_team_scored,True
20060,SEA,-2,3,1,0,1,pulling_team_scored,True
20063,CBJ,-1,3,1,0,1,pulling_team_scored,True
20066,ARI,-1,3,0,0,0,no_goal,True
20068,VAN,-1,3,1,0,1,pulling_team_scored,True
20075,STL,-2,3,0,0,0,no_goal,True
20076,COL,-2,3,0,0,0,no_goal,True
20081,BOS,-1,3,1,0,1,pulling_team_scored,True
20085,BUF,-1,3,1,0,1,pulling_team_scored,True
20087,NJD,-2,3,1,0,1,pulling_team_scored,True
20089,FLA,-1,3,1,0,1,pulling_team_scored,True
20090,COL,-1,3,2,0,2,pulling_team_scored,True
20093,WPG,-1,3,1,0,1,pulling_team_scored,True
20094,MIN,-2,3,1,0,1,pulling_team_scored,True
20095,VAN,-1,3,0,0,0,no_goal,True
20097,LAK,-2,3,1,0,1,pulling_team_scored,True
20099,WSH,-1,3,1,0,1,pulling_team_scored,True
20102,WPG,-2,3,1,0,1,pulling_team_scored,True
20108,TOR,-2,3,1,0,1,pulling_team_scored,True
20109,STL,-2,3,1,0,1,pulling_team_scored,True
20115,LAK,-1,3,0,0,0,no_goal,True
20119,BOS,-2,3,1,0,1,pulling_team_scored,True
20125,VGK,-1,3,0,1,1,opponent_scored,True
20126,BUF,-3,3,1,0,1,pulling_team_scored,True
20127,NJD,-1,3,0,0,0,no_goal,True
20128,WSH,-1,3,1,0,1,pulling_team_scored,True
20129,EDM,-2,3,1,0,1,pulling_team_scored,True
20136,DAL,-2,3,1,1,2,both_scored,True
20140,VAN,-2,3,1,0,1,pulling_team_scored,True
20141,BUF,-2,3,1,0,1,pulling_team_scored,True
20143,COL,-3,3,0,0,0,no_goal,True
20146,CBJ,-1,3,1,0,1,pulling_team_scored,True
20147,FLA,-1,3,1,0,1,pulling_team_scored,True
20148,NYR,-1,3,0,0,0,no_goal,True
20150,NYI,-3,3,0,0,0,no_goal,True
20155,VGK,-2,3,1,0,1,pulling_team_scored,True
20158,STL,-1,3,2,0,2,pulling_team_scored,True
20162,TBL,-2,3,0,0,0,no_goal,True
20164,STL,-3,3,1,1,2,both_scored,True
20165,BUF,-1,3,1,0,1,pulling_team_scored,True
20166,WSH,-1,3,0,0,0,no_goal,True
20168,CHI,-2,3,1,0,1,pulling_team_scored,True
20170,CGY,-1,3,2,0,2,pulling_team_scored,True
20174,NJD,-1,3,1,0,1,pulling_team_scored,True
20175,ANA,-1,3,1,0,1,pulling_team_scored,True
20178,BOS,-2,3,0,1,1,opponent_scored,True
20183,NYR,-2,3,0,0,0,no_goal,True
20184,WPG,-2,3,1,0,1,pulling_team_scored,True
20186,CGY,-1,3,1,0,1,pulling_team_scored,True
20187,PIT,-1,3,1,0,1,pulling_team_scored,True
20188,COL,-2,3,1,0,1,pulling_team_scored,True
20189,SJS,-1,3,0,0,0,no_goal,True
20192,LAK,-2,3,1,0,1,pulling_team_scored,True
20193,BOS,-2,3,1,0,1,pulling_team_scored,True
20194,DAL,-2,3,1,0,1,pulling_team_scored,True
20196,NYR,-2,3,1,0,1,pulling_team_scored,True
20199,STL,-1,3,0,0,0,no_goal,True
20200,WPG,-2,3,1,0,1,pulling_team_scored,True
20205,FLA,-2,3,1,0,1,pulling_team_scored,True
20206,WSH,-1,3,1,0,1,pulling_team_scored,True
20208,PHI,-2,3,1,0,1,pulling_team_scored,True
20211,DAL,-1,3,0,0,0,no_goal,True
20214,CAR,-3,3,1,0,1,pulling_team_scored,True
20216,WSH,-2,3,1,0,1,pulling_team_scored,True
20217,PIT,-3,3,1,0,1,pulling_team_scored,True
20218,ARI,-1,3,1,0,1,pulling_team_scored,True
20224,VAN,-2,3,2,1,3,both_scored,True
20227,EDM,-2,3,1,0,1,pulling_team_scored,True
20230,PIT,-1,3,1,0,1,pulling_team_scored,True
20232,WSH,-1,3,2,0,2,pulling_team_scored,True
20234,ANA,-1,3,0,0,0,no_goal,True
20235,STL,-3,3,2,0,2,pulling_team_scored,True
20236,WPG,-2,3,1,0,1,pulling_team_scored,True
20237,FLA,-1,3,1,0,1,pulling_team_scored,True
20246,TBL,-1,3,1,0,1,pulling_team_scored,True
20247,CGY,-2,3,1,0,1,pulling_team_scored,True
20253,FLA,-1,3,0,0,0,no_goal,True
20256,NSH,-1,3,1,0,1,pulling_team_scored,True
20257,TBL,-1,3,1,0,1,pulling_team_scored,True
20259,CAR,-1,3,1,0,1,pulling_team_scored,True
20261,NYR,-1,3,1,0,1,pulling_team_scored,True
20262,WPG,-2,3,1,0,1,pulling_team_scored,True
20263,WSH,-1,3,0,0,0,no_goal,True
20264,COL,-2,3,1,0,1,pulling_team_scored,True
20268,PHI,-2,3,1,0,1,pulling_team_scored,True
20269,PIT,-2,3,1,0,1,pulling_team_scored,True
20271,STL,-2,3,0,0,0,no_goal,True
20272,FLA,-1,3,1,0,1,pulling_team_scored,True
20274,DAL,-2,3,2,1,3,both_scored,True
20279,CAR,-2,3,1,0,1,pulling_team_scored,True
20286,NYI,-1,3,0,0,0,no_goal,True
20291,COL,-2,3,1,0,1,pulling_team_scored,True
20293,DET,-2,3,1,0,1,pulling_team_scored,True
20294,NYR,-2,3,0,0,0,no_goal,True
20301,BUF,-1,3,0,0,0,no_goal,True
20304,WPG,-2,3,1,0,1,pulling_team_scored,True
20305,CGY,-2,3,1,0,1,pulling_team_scored,True
20313,COL,-2,3,0,0,0,no_goal,True
20314,SJS,-1,3,0,0,0,no_goal,True
20315,ARI,-1,3,1,0,1,pulling_team_scored,True
20316,DET,-2,3,1,0,1,pulling_team_scored,True
20321,CBJ,-3,3,1,1,2,both_scored,True
20322,BUF,-2,3,2,0,2,pulling_team_scored,True
20324,COL,-2,3,1,0,1,pulling_team_scored,True
20326,SJS,-1,3,0,0,0,no_goal,True
20328,CAR,-2,3,1,0,1,pulling_team_scored,True
20330,MIN,-2,3,0,0,0,no_goal,True
20332,DAL,-2,3,0,0,0,no_goal,True
20333,CHI,-1,3,0,0,0,no_goal,True
20334,ARI,-2,3,0,0,0,no_goal,True
20336,VAN,-1,3,1,0,1,pulling_team_scored,True
20337,MTL,-1,3,1,0,1,pulling_team_scored,True
20341,NYI,-1,3,1,1,2,both_scored,True
20345,PIT,-1,3,1,0,1,pulling_team_scored,True
20348,STL,-2,3,0,0,0,no_goal,True
20349,EDM,-1,3,1,0,1,pulling_team_scored,True
20355,SJS,-2,3,1,0,1,pulling_team_scored,True
20357,WPG,-2,3,0,0,0,no_goal,True
20358,NYR,-1,3,0,0,0,no_goal,True
20365,ARI,-2,3,1,0,1,pulling_team_scored,True
20367,VAN,-1,3,1,1,2,both_scored,True
20368,VGK,-2,3,1,0,1,pulling_team_scored,True
20373,LAK,-2,3,1,0,1,pulling_team_scored,True
20376,MTL,-1,3,1,0,1,pulling_team_scored,True
20377,WPG,-1,3,0,0,0,no_goal,True
20380,DET,-1,3,1,0,1,pulling_team_scored,True
20382,OTT,-3,3,1,0,1,pulling_team_scored,True
20386,COL,-1,3,0,0,0,no_goal,True
20390,VGK,-2,3,1,0,1,pulling_team_scored,True
20393,DET,-1,3,0,2,2,opponent_scored,True
20398,NSH,-3,3,1,0,1,pulling_team_scored,True
20401,CGY,-1,3,0,0,0,no_goal,True
20402,WPG,-1,3,1,0,1,pulling_team_scored,True
20405,CBJ,-2,3,1,0,1,pulling_team_scored,True
20406,FLA,-1,3,1,0,1,pulling_team_scored,True
20409,NJD,-1,3,1,0,1,pulling_team_scored,True
20412,OTT,-3,3,1,0,1,pulling_team_scored,True
20413,TOR,-3,3,1,0,1,pulling_team_scored,True
20420,FLA,-2,3,2,1,3,both_scored,True
20421,EDM,-2,3,1,0,1,pulling_team_scored,True
20425,WPG,-1,3,1,0,1,pulling_team_scored,True
20426,MIN,-2,3,1,0,1,pulling_team_scored,True
20428,BUF,-2,3,1,0,1,pulling_team_scored,True
20430,DAL,-2,3,1,0,1,pulling_team_scored,True
20432,TOR,-3,3,1,0,1,pulling_team_scored,True
20434,PIT,-1,3,1,0,1,pulling_team_scored,True
20436,DET,-1,3,1,0,1,pulling_team_scored,True
20438,SEA,-3,3,1,0,1,pulling_team_scored,True
20439,VAN,-2,3,1,0,1,pulling_team_scored,True
20441,SJS,-1,3,0,0,0,no_goal,True
20446,WPG,-2,3,1,0,1,pulling_team_scored,True
20452,TBL,-1,3,2,0,2,pulling_team_scored,True
20459,ARI,-1,3,0,0,0,no_goal,True
20460,BUF,-2,3,1,0,1,pulling_team_scored,True
20463,NJD,-3,3,1,1,2,both_scored,True
20464,MTL,-1,3,1,0,1,pulling_team_scored,True
20467,WPG,-3,3,1,0,1,pulling_team_scored,True
20470,ARI,-2,3,0,0,0,no_goal,True
20471,CGY,-2,3,0,0,0,no_goal,True
20476,ANA,-3,3,1,0,1,pulling_team_scored,True
20477,COL,-3,3,1,0,1,pulling_team_scored,True
20479,ANA,-1,3,0,0,0,no_goal,True
20483,CGY,-1,3,1,0,1,pulling_team_scored,True
20489,NYR,-2,3,1,0,1,pulling_team_scored,True
