game_id,date,team,period,estimated_pull_time,time_remaining_seconds,score_differential,trailing_goals,outcome,empty_net_goal_time
2023020001,2023-10-10,NSH,3,01:47,107,2,2,no_tie,19:58
2023020002,2023-10-10,PIT,3,03:12,192,2,2,no_tie,18:33
2023020003,2023-10-10,SEA,3,03:00,180,3,3,no_tie,18:45
2023020006,2023-10-11,CHI,3,02:41,161,2,2,no_tie,19:04
2023020007,2023-10-11,WPG,3,01:52,112,2,2,no_tie,19:53
2023020008,2023-10-11,LAK,3,05:37,337,3,3,no_tie,16:08
2023020010,2023-10-12,BUF,3,03:14,194,4,4,no_tie,18:31
2023020011,2023-10-12,CBJ,3,03:14,194,2,2,tie_game,18:31
2023020011,2023-10-12,CBJ,3,01:46,106,2,2,no_tie,19:59
2023020012,2023-10-12,DET,3,03:16,196,2,2,tie_game,18:29
2023020015,2023-10-12,SEA,3,03:26,206,3,3,no_tie,18:19
2023020020,2023-10-14,FLA,3,02:55,175,2,2,no_tie,18:50
2023020023,2023-10-14,TBL,3,01:46,106,2,2,no_tie,19:59
2023020025,2023-10-14,CGY,3,02:07,127,3,3,no_tie,19:38
2023020031,2023-10-14,ANA,3,04:13,253,3,3,no_tie,17:32
2023020033,2023-10-15,TBL,3,04:28,268,3,3,no_tie,17:17
2023020034,2023-10-15,CAR,3,03:42,222,2,2,no_tie,18:03
2023020034,2023-10-15,CAR,3,03:04,184,3,3,no_tie,18:41
2023020038,2023-10-16,TOR,3,01:51,111,3,3,no_tie,19:54
2023020006,2023-10-11,CHI,3,02:41,161,2,2,no_tie,19:04
2023020007,2023-10-11,WPG,3,01:52,112,2,2,no_tie,19:53
2023020008,2023-10-11,LAK,3,05:37,337,3,3,no_tie,16:08
2023020010,2023-10-12,BUF,3,03:14,194,4,4,no_tie,18:31
2023020011,2023-10-12,CBJ,3,03:14,194,2,2,tie_game,18:31
2023020011,2023-10-12,CBJ,3,01:46,106,2,2,no_tie,19:59
2023020012,2023-10-12,DET,3,03:16,196,2,2,tie_game,18:29
2023020015,2023-10-12,SEA,3,03:26,206,3,3,no_tie,18:19
2023020020,2023-10-14,FLA,3,02:55,175,2,2,no_tie,18:50
2023020023,2023-10-14,TBL,3,01:46,106,2,2,no_tie,19:59
2023020025,2023-10-14,CGY,3,02:07,127,3,3,no_tie,19:38
2023020031,2023-10-14,ANA,3,04:13,253,3,3,no_tie,17:32
2023020033,2023-10-15,TBL,3,04:28,268,3,3,no_tie,17:17
2023020034,2023-10-15,CAR,3,03:42,222,2,2,no_tie,18:03
2023020034,2023-10-15,CAR,3,03:04,184,3,3,no_tie,18:41
2023020038,2023-10-16,TOR,3,01:51,111,3,3,no_tie,19:54
2023020046,2023-10-17,SEA,3,04:59,299,3,3,no_tie,16:46
2023020010,2023-10-12,BUF,3,03:14,194,4,4,no_tie,18:31
2023020011,2023-10-12,CBJ,3,03:14,194,2,2,tie_game,18:31
2023020011,2023-10-12,CBJ,3,01:46,106,2,2,no_tie,19:59
2023020012,2023-10-12,DET,3,03:16,196,2,2,tie_game,18:29
2023020015,2023-10-12,SEA,3,03:26,206,3,3,no_tie,18:19
2023020020,2023-10-14,FLA,3,02:55,175,2,2,no_tie,18:50
2023020023,2023-10-14,TBL,3,01:46,106,2,2,no_tie,19:59
2023020025,2023-10-14,CGY,3,02:07,127,3,3,no_tie,19:38
2023020031,2023-10-14,ANA,3,04:13,253,3,3,no_tie,17:32
2023020033,2023-10-15,TBL,3,04:28,268,3,3,no_tie,17:17
2023020034,2023-10-15,CAR,3,03:42,222,2,2,no_tie,18:03
2023020034,2023-10-15,CAR,3,03:04,184,3,3,no_tie,18:41
2023020038,2023-10-16,TOR,3,01:51,111,3,3,no_tie,19:54
2023020046,2023-10-17,SEA,3,04:59,299,3,3,no_tie,16:46
2023020050,2023-10-18,PIT,3,03:17,197,2,2,no_tie,18:28
2023020050,2023-10-18,PIT,3,02:56,176,3,3,no_tie,18:49
2023020020,2023-10-14,FLA,3,02:55,175,2,2,no_tie,18:50
2023020023,2023-10-14,TBL,3,01:46,106,2,2,no_tie,19:59
2023020025,2023-10-14,CGY,3,02:07,127,3,3,no_tie,19:38
2023020031,2023-10-14,ANA,3,04:13,253,3,3,no_tie,17:32
2023020033,2023-10-15,TBL,3,04:28,268,3,3,no_tie,17:17
2023020034,2023-10-15,CAR,3,03:42,222,2,2,no_tie,18:03
2023020034,2023-10-15,CAR,3,03:04,184,3,3,no_tie,18:41
2023020038,2023-10-16,TOR,3,01:51,111,3,3,no_tie,19:54
2023020046,2023-10-17,SEA,3,04:59,299,3,3,no_tie,16:46
2023020050,2023-10-18,PIT,3,03:17,197,2,2,no_tie,18:28
2023020050,2023-10-18,PIT,3,02:56,176,3,3,no_tie,18:49
2023020052,2023-10-19,TOR,3,01:46,106,2,2,no_tie,19:59
2023020056,2023-10-19,MIN,3,04:04,244,3,3,no_tie,17:41
2023020056,2023-10-19,MIN,3,02:53,173,4,4,no_tie,18:52
2023020058,2023-10-19,WPG,3,02:48,168,2,2,no_tie,18:57
2023020060,2023-10-19,CAR,3,04:54,294,3,3,no_tie,16:51
2023020020,2023-10-14,FLA,3,02:55,175,2,2,no_tie,18:50
2023020023,2023-10-14,TBL,3,01:46,106,2,2,no_tie,19:59
2023020025,2023-10-14,CGY,3,02:07,127,3,3,no_tie,19:38
2023020031,2023-10-14,ANA,3,04:13,253,3,3,no_tie,17:32
2023020033,2023-10-15,TBL,3,04:28,268,3,3,no_tie,17:17
2023020034,2023-10-15,CAR,3,03:42,222,2,2,no_tie,18:03
2023020034,2023-10-15,CAR,3,03:04,184,3,3,no_tie,18:41
2023020038,2023-10-16,TOR,3,01:51,111,3,3,no_tie,19:54
2023020046,2023-10-17,SEA,3,04:59,299,3,3,no_tie,16:46
2023020050,2023-10-18,PIT,3,03:17,197,2,2,no_tie,18:28
2023020050,2023-10-18,PIT,3,02:56,176,3,3,no_tie,18:49
2023020052,2023-10-19,TOR,3,01:46,106,2,2,no_tie,19:59
2023020056,2023-10-19,MIN,3,04:04,244,3,3,no_tie,17:41
2023020056,2023-10-19,MIN,3,02:53,173,4,4,no_tie,18:52
2023020058,2023-10-19,WPG,3,02:48,168,2,2,no_tie,18:57
2023020060,2023-10-19,CAR,3,04:54,294,3,3,no_tie,16:51
2023020063,2023-10-20,CGY,3,04:06,246,2,2,no_tie,17:39
2023020033,2023-10-15,TBL,3,04:28,268,3,3,no_tie,17:17
2023020034,2023-10-15,CAR,3,03:42,222,2,2,no_tie,18:03
2023020034,2023-10-15,CAR,3,03:04,184,3,3,no_tie,18:41
2023020038,2023-10-16,TOR,3,01:51,111,3,3,no_tie,19:54
2023020046,2023-10-17,SEA,3,04:59,299,3,3,no_tie,16:46
2023020050,2023-10-18,PIT,3,03:17,197,2,2,no_tie,18:28
2023020050,2023-10-18,PIT,3,02:56,176,3,3,no_tie,18:49
2023020052,2023-10-19,TOR,3,01:46,106,2,2,no_tie,19:59
2023020056,2023-10-19,MIN,3,04:04,244,3,3,no_tie,17:41
2023020056,2023-10-19,MIN,3,02:53,173,4,4,no_tie,18:52
2023020058,2023-10-19,WPG,3,02:48,168,2,2,no_tie,18:57
2023020060,2023-10-19,CAR,3,04:54,294,3,3,no_tie,16:51
2023020063,2023-10-20,CGY,3,04:06,246,2,2,no_tie,17:39
2023020068,2023-10-21,FLA,3,03:55,235,2,2,no_tie,17:50
2023020038,2023-10-16,TOR,3,01:51,111,3,3,no_tie,19:54
2023020046,2023-10-17,SEA,3,04:59,299,3,3,no_tie,16:46
2023020050,2023-10-18,PIT,3,03:17,197,2,2,no_tie,18:28
2023020050,2023-10-18,PIT,3,02:56,176,3,3,no_tie,18:49
2023020052,2023-10-19,TOR,3,01:46,106,2,2,no_tie,19:59
2023020056,2023-10-19,MIN,3,04:04,244,3,3,no_tie,17:41
2023020056,2023-10-19,MIN,3,02:53,173,4,4,no_tie,18:52
2023020058,2023-10-19,WPG,3,02:48,168,2,2,no_tie,18:57
2023020060,2023-10-19,CAR,3,04:54,294,3,3,no_tie,16:51
2023020063,2023-10-20,CGY,3,04:06,246,2,2,no_tie,17:39
2023020068,2023-10-21,FLA,3,03:55,235,2,2,no_tie,17:50
2023020081,2023-10-22,ANA,3,04:19,259,2,2,no_tie,17:26
2023020046,2023-10-17,SEA,3,04:59,299,3,3,no_tie,16:46
2023020050,2023-10-18,PIT,3,03:17,197,2,2,no_tie,18:28
2023020050,2023-10-18,PIT,3,02:56,176,3,3,no_tie,18:49
2023020052,2023-10-19,TOR,3,01:46,106,2,2,no_tie,19:59
2023020056,2023-10-19,MIN,3,04:04,244,3,3,no_tie,17:41
2023020056,2023-10-19,MIN,3,02:53,173,4,4,no_tie,18:52
2023020058,2023-10-19,WPG,3,02:48,168,2,2,no_tie,18:57
2023020060,2023-10-19,CAR,3,04:54,294,3,3,no_tie,16:51
2023020063,2023-10-20,CGY,3,04:06,246,2,2,no_tie,17:39
2023020068,2023-10-21,FLA,3,03:55,235,2,2,no_tie,17:50
2023020081,2023-10-22,ANA,3,04:19,259,2,2,no_tie,17:26
2023020050,2023-10-18,PIT,3,03:17,197,2,2,no_tie,18:28
2023020050,2023-10-18,PIT,3,02:56,176,3,3,no_tie,18:49
2023020052,2023-10-19,TOR,3,01:46,106,2,2,no_tie,19:59
2023020056,2023-10-19,MIN,3,04:04,244,3,3,no_tie,17:41
2023020056,2023-10-19,MIN,3,02:53,173,4,4,no_tie,18:52
2023020058,2023-10-19,WPG,3,02:48,168,2,2,no_tie,18:57
2023020060,2023-10-19,CAR,3,04:54,294,3,3,no_tie,16:51
2023020063,2023-10-20,CGY,3,04:06,246,2,2,no_tie,17:39
2023020068,2023-10-21,FLA,3,03:55,235,2,2,no_tie,17:50
2023020081,2023-10-22,ANA,3,04:19,259,2,2,no_tie,17:26
2023020085,2023-10-24,OTT,3,02:08,128,2,2,no_tie,19:37
2023020087,2023-10-24,MTL,3,02:11,131,3,3,no_tie,19:34
2023020089,2023-10-24,SJS,3,01:47,107,2,2,no_tie,19:58
2023020090,2023-10-24,NYI,3,02:45,165,2,2,no_tie,19:00
2023020090,2023-10-24,NYI,3,02:16,136,3,3,no_tie,19:29
2023020093,2023-10-24,STL,3,02:55,175,2,2,no_tie,18:50
2023020094,2023-10-24,EDM,3,05:08,308,3,3,no_tie,16:37
2023020097,2023-10-24,ARI,3,02:22,142,3,3,no_tie,19:23
2023020052,2023-10-19,TOR,3,01:46,106,2,2,no_tie,19:59
2023020056,2023-10-19,MIN,3,04:04,244,3,3,no_tie,17:41
2023020056,2023-10-19,MIN,3,02:53,173,4,4,no_tie,18:52
2023020058,2023-10-19,WPG,3,02:48,168,2,2,no_tie,18:57
2023020060,2023-10-19,CAR,3,04:54,294,3,3,no_tie,16:51
2023020063,2023-10-20,CGY,3,04:06,246,2,2,no_tie,17:39
2023020068,2023-10-21,FLA,3,03:55,235,2,2,no_tie,17:50
2023020081,2023-10-22,ANA,3,04:19,259,2,2,no_tie,17:26
2023020085,2023-10-24,OTT,3,02:08,128,2,2,no_tie,19:37
2023020087,2023-10-24,MTL,3,02:11,131,3,3,no_tie,19:34
2023020089,2023-10-24,SJS,3,01:47,107,2,2,no_tie,19:58
2023020090,2023-10-24,NYI,3,02:45,165,2,2,no_tie,19:00
2023020090,2023-10-24,NYI,3,02:16,136,3,3,no_tie,19:29
2023020093,2023-10-24,STL,3,02:55,175,2,2,no_tie,18:50
2023020094,2023-10-24,EDM,3,05:08,308,3,3,no_tie,16:37
2023020097,2023-10-24,ARI,3,02:22,142,3,3,no_tie,19:23
2023020099,2023-10-25,NJD,3,03:20,200,2,2,no_tie,18:25
2023020063,2023-10-20,CGY,3,04:06,246,2,2,no_tie,17:39
2023020068,2023-10-21,FLA,3,03:55,235,2,2,no_tie,17:50
2023020081,2023-10-22,ANA,3,04:19,259,2,2,no_tie,17:26
2023020085,2023-10-24,OTT,3,02:08,128,2,2,no_tie,19:37
2023020087,2023-10-24,MTL,3,02:11,131,3,3,no_tie,19:34
2023020089,2023-10-24,SJS,3,01:47,107,2,2,no_tie,19:58
2023020090,2023-10-24,NYI,3,02:45,165,2,2,no_tie,19:00
2023020090,2023-10-24,NYI,3,02:16,136,3,3,no_tie,19:29
2023020093,2023-10-24,STL,3,02:55,175,2,2,no_tie,18:50
2023020094,2023-10-24,EDM,3,05:08,308,3,3,no_tie,16:37
2023020097,2023-10-24,ARI,3,02:22,142,3,3,no_tie,19:23
2023020099,2023-10-25,NJD,3,03:20,200,2,2,no_tie,18:25
2023020102,2023-10-26,DET,3,02:47,167,3,3,no_tie,18:58
2023020108,2023-10-26,DAL,3,01:56,116,3,3,no_tie,19:49
2023020109,2023-10-26,CGY,3,03:52,232,3,3,no_tie,17:53
2023020068,2023-10-21,FLA,3,03:55,235,2,2,no_tie,17:50
2023020081,2023-10-22,ANA,3,04:19,259,2,2,no_tie,17:26
2023020085,2023-10-24,OTT,3,02:08,128,2,2,no_tie,19:37
2023020087,2023-10-24,MTL,3,02:11,131,3,3,no_tie,19:34
2023020089,2023-10-24,SJS,3,01:47,107,2,2,no_tie,19:58
2023020090,2023-10-24,NYI,3,02:45,165,2,2,no_tie,19:00
2023020090,2023-10-24,NYI,3,02:16,136,3,3,no_tie,19:29
2023020093,2023-10-24,STL,3,02:55,175,2,2,no_tie,18:50
2023020094,2023-10-24,EDM,3,05:08,308,3,3,no_tie,16:37
2023020097,2023-10-24,ARI,3,02:22,142,3,3,no_tie,19:23
2023020099,2023-10-25,NJD,3,03:20,200,2,2,no_tie,18:25
2023020102,2023-10-26,DET,3,02:47,167,3,3,no_tie,18:58
2023020108,2023-10-26,DAL,3,01:56,116,3,3,no_tie,19:49
2023020109,2023-10-26,CGY,3,03:52,232,3,3,no_tie,17:53
2023020081,2023-10-22,ANA,3,04:19,259,2,2,no_tie,17:26
2023020085,2023-10-24,OTT,3,02:08,128,2,2,no_tie,19:37
2023020087,2023-10-24,MTL,3,02:11,131,3,3,no_tie,19:34
2023020089,2023-10-24,SJS,3,01:47,107,2,2,no_tie,19:58
2023020090,2023-10-24,NYI,3,02:45,165,2,2,no_tie,19:00
2023020090,2023-10-24,NYI,3,02:16,136,3,3,no_tie,19:29
2023020093,2023-10-24,STL,3,02:55,175,2,2,no_tie,18:50
2023020094,2023-10-24,EDM,3,05:08,308,3,3,no_tie,16:37
2023020097,2023-10-24,ARI,3,02:22,142,3,3,no_tie,19:23
2023020099,2023-10-25,NJD,3,03:20,200,2,2,no_tie,18:25
2023020102,2023-10-26,DET,3,02:47,167,3,3,no_tie,18:58
2023020108,2023-10-26,DAL,3,01:56,116,3,3,no_tie,19:49
2023020109,2023-10-26,CGY,3,03:52,232,3,3,no_tie,17:53
2023020119,2023-10-28,DET,3,04:04,244,3,3,no_tie,17:41
2023020085,2023-10-24,OTT,3,02:08,128,2,2,no_tie,19:37
2023020087,2023-10-24,MTL,3,02:11,131,3,3,no_tie,19:34
2023020089,2023-10-24,SJS,3,01:47,107,2,2,no_tie,19:58
2023020090,2023-10-24,NYI,3,02:45,165,2,2,no_tie,19:00
2023020090,2023-10-24,NYI,3,02:16,136,3,3,no_tie,19:29
2023020093,2023-10-24,STL,3,02:55,175,2,2,no_tie,18:50
