game_id,date,team,period,pull_time,time_remaining_seconds,score_differential,home_score_at_pull,away_score_at_pull,goal_scored_after,goal_by_trailing_team,goal_by_opponent,time_to_goal_seconds,outcome,final_home_score,final_away_score,total_goals_added
2023020001,2023-10-10,NSH,3,19:58,62,2,5,3,True,False,True,0,opponent_scored,5,3,0
2023020002,2023-10-10,PIT,3,18:33,147,2,2,4,True,False,True,0,opponent_scored,2,4,0
2023020003,2023-10-10,SEA,3,18:45,135,3,4,1,True,False,True,0,opponent_scored,4,1,0
2023020006,2023-10-11,CHI,3,19:04,116,2,3,1,True,False,True,0,opponent_scored,3,1,0
2023020007,2023-10-11,WPG,3,19:53,67,2,5,3,True,False,True,0,opponent_scored,5,3,0
2023020008,2023-10-11,LAK,3,16:08,292,3,2,5,True,False,True,0,opponent_scored,2,5,0
2023020010,2023-10-12,BUF,3,18:31,149,4,1,5,True,False,True,0,opponent_scored,1,5,0
2023020011,2023-10-12,CBJ,3,18:31,149,2,1,3,True,False,True,0,opponent_scored,1,3,0
2023020012,2023-10-12,DET,3,18:29,151,2,4,2,True,False,True,0,opponent_scored,4,2,0
2023020015,2023-10-12,SEA,3,18:19,161,3,3,0,True,False,True,0,opponent_scored,3,0,0
2023020020,2023-10-14,FLA,3,18:50,130,2,6,4,True,False,True,0,opponent_scored,6,4,0
2023020023,2023-10-14,TBL,3,19:59,61,2,6,4,True,False,True,0,opponent_scored,6,4,0
2023020025,2023-10-14,CGY,3,19:38,82,3,5,2,True,False,True,0,opponent_scored,5,2,0
2023020031,2023-10-14,ANA,3,17:32,208,3,4,1,True,False,True,0,opponent_scored,4,1,0
2023020033,2023-10-15,TBL,3,17:17,223,3,5,2,True,False,True,0,opponent_scored,5,2,0
2023020034,2023-10-15,CAR,3,18:03,177,2,5,3,True,False,True,0,opponent_scored,5,3,0
2023020038,2023-10-16,TOR,3,19:54,66,3,1,4,True,False,True,0,opponent_scored,1,4,0
2023020046,2023-10-17,SEA,3,16:46,254,3,1,4,True,False,True,0,opponent_scored,1,4,0
2023020050,2023-10-18,PIT,3,18:28,152,2,5,3,True,False,True,0,opponent_scored,5,3,0
2023020052,2023-10-19,TOR,3,19:59,61,2,3,1,True,False,True,0,opponent_scored,3,1,0
2023020056,2023-10-19,MIN,3,17:41,199,3,3,6,True,False,True,0,opponent_scored,3,6,0
2023020058,2023-10-19,WPG,3,18:57,123,2,3,5,True,False,True,0,opponent_scored,3,5,0
2023020060,2023-10-19,CAR,3,16:51,249,3,7,4,True,False,True,0,opponent_scored,7,4,0
2023020063,2023-10-20,CGY,3,17:39,201,2,3,1,True,False,True,0,opponent_scored,3,1,0
2023020068,2023-10-21,FLA,3,17:50,190,2,3,5,True,False,True,0,opponent_scored,3,5,0
2023020081,2023-10-22,ANA,3,17:26,214,2,1,3,True,False,True,0,opponent_scored,1,3,0
2023020085,2023-10-24,OTT,3,19:37,83,2,4,6,True,False,True,0,opponent_scored,4,6,0
2023020087,2023-10-24,MTL,3,19:34,86,3,2,5,True,False,True,0,opponent_scored,2,5,0
2023020089,2023-10-24,SJS,3,19:58,62,2,3,1,True,False,True,0,opponent_scored,3,1,0
2023020090,2023-10-24,NYI,3,19:00,120,2,4,6,True,False,True,0,opponent_scored,4,6,0
2023020093,2023-10-24,STL,3,18:50,130,2,4,2,True,False,True,0,opponent_scored,4,2,0
2023020094,2023-10-24,EDM,3,16:37,263,3,7,4,True,False,True,0,opponent_scored,7,4,0
2023020097,2023-10-24,ARI,3,19:23,97,3,6,3,True,False,True,0,opponent_scored,6,3,0
2023020099,2023-10-25,NJD,3,18:25,155,2,4,6,True,False,True,0,opponent_scored,4,6,0
2023020102,2023-10-26,DET,3,18:58,122,3,1,4,True,False,True,0,opponent_scored,1,4,0
2023020108,2023-10-26,DAL,3,19:49,71,3,1,4,True,False,True,0,opponent_scored,1,4,0
2023020109,2023-10-26,CGY,3,17:53,187,3,0,3,True,False,True,0,opponent_scored,0,3,0
2023020119,2023-10-28,DET,3,17:41,199,3,4,1,True,False,True,0,opponent_scored,4,1,0
2023020126,2023-10-29,COL,3,16:52,248,4,4,0,True,False,True,0,opponent_scored,4,0,0
2023020128,2023-10-29,SJS,3,19:02,118,2,3,1,True,False,True,0,opponent_scored,3,1,0
2023020129,2023-10-29,CGY,3,19:13,107,3,5,2,True,False,True,0,opponent_scored,5,2,0
2023020136,2023-10-30,CBJ,3,16:21,279,3,5,2,True,False,True,0,opponent_scored,5,2,0
2023020140,2023-10-31,NSH,3,17:02,238,3,5,2,True,False,True,0,opponent_scored,5,2,0
2023020141,2023-11-01,PHI,3,16:52,248,3,2,5,True,False,True,0,opponent_scored,2,5,0
2023020146,2023-11-02,TBL,3,17:49,191,2,4,2,True,False,True,0,opponent_scored,4,2,0
2023020147,2023-11-02,DET,3,18:48,132,2,0,2,True,False,True,0,opponent_scored,0,2,0
2023020155,2023-11-02,WPG,3,17:08,232,3,5,2,True,False,True,0,opponent_scored,5,2,0
2023020158,2023-11-03,NJD,3,18:23,157,2,3,1,True,False,True,0,opponent_scored,3,1,0
2023020164,2023-11-04,MTL,3,16:00,300,4,6,2,True,False,True,0,opponent_scored,6,2,0
2023020165,2023-11-04,TOR,3,18:54,126,2,4,6,True,False,True,0,opponent_scored,4,6,0
2023020168,2023-11-04,FLA,3,19:50,70,3,5,2,True,False,True,0,opponent_scored,5,2,0
2023020170,2023-11-04,SEA,3,19:12,108,2,3,5,True,False,True,0,opponent_scored,3,5,0
2023020174,2023-11-05,CHI,3,19:59,61,2,2,4,True,False,True,0,opponent_scored,2,4,0
2023020175,2023-11-05,VGK,3,18:51,129,2,4,2,True,False,True,0,opponent_scored,4,2,0
2023020184,2023-11-07,STL,3,17:32,208,3,2,5,True,False,True,0,opponent_scored,2,5,0
2023020186,2023-11-07,NSH,3,18:21,159,2,4,2,True,False,True,0,opponent_scored,4,2,0
2023020187,2023-11-07,ANA,3,19:40,80,2,0,2,True,False,True,0,opponent_scored,0,2,0
2023020188,2023-11-07,NJD,3,18:33,147,3,6,3,True,False,True,0,opponent_scored,6,3,0
2023020192,2023-11-08,VGK,3,19:48,72,3,1,4,True,False,True,0,opponent_scored,1,4,0
2023020193,2023-11-09,NYI,3,18:39,141,3,5,2,True,False,True,0,opponent_scored,5,2,0
2023020194,2023-11-09,CBJ,3,17:04,236,3,2,5,True,False,True,0,opponent_scored,2,5,0
2023020196,2023-11-09,MIN,3,18:39,141,3,4,1,True,False,True,0,opponent_scored,4,1,0
2023020200,2023-11-09,NSH,3,16:44,256,3,6,3,True,False,True,0,opponent_scored,6,3,0
2023020205,2023-11-10,CAR,3,16:18,282,3,5,2,True,False,True,0,opponent_scored,5,2,0
2023020206,2023-11-10,NJD,3,18:09,171,2,2,4,True,False,True,0,opponent_scored,2,4,0
2023020208,2023-11-10,ANA,3,18:59,121,3,3,6,True,False,True,0,opponent_scored,3,6,0
2023020216,2023-11-11,NYI,3,19:57,63,3,1,4,True,False,True,0,opponent_scored,1,4,0
2023020217,2023-11-11,BUF,3,18:11,169,4,4,0,True,False,True,0,opponent_scored,4,0,0
2023020218,2023-11-11,NSH,3,18:33,147,2,5,7,True,False,True,0,opponent_scored,5,7,0
2023020224,2023-11-12,MTL,3,18:30,150,3,1,4,True,False,True,0,opponent_scored,1,4,0
2023020227,2023-11-13,NYI,3,17:33,207,3,4,1,True,False,True,0,opponent_scored,4,1,0
2023020230,2023-11-14,CBJ,3,19:23,97,2,3,5,True,False,True,0,opponent_scored,3,5,0
2023020232,2023-11-14,VGK,3,19:11,109,2,2,0,True,False,True,0,opponent_scored,2,0,0
